,2021-12-31,2022-12-31
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,4564000000,3655000000
DebtSecuritiesAvailableForSaleExcludingAccruedInterestCurrent,201000000,238000000
AccountsReceivableNetCurrent,4660000000,4532000000
InventoryFinishedGoods,2196000000,2497000000
InventoryWorkInProcess,1577000000,1606000000
InventoryRawMaterialsAndSupplies,1212000000,1269000000
InventoryNet,4985000000,5372000000
PrepaidExpenseCurrent,654000000,435000000
OtherAssetsCurrent,339000000,456000000
AssetsCurrent,15403000000,14688000000
PropertyPlantAndEquipmentGross,27213000000,25998000000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,17784000000,16820000000
PropertyPlantAndEquipmentNet,9429000000,9178000000
OperatingLeaseRightOfUseAsset,858000000,829000000
Goodwill,13486000000,12790000000
IntangibleAssetsNetExcludingGoodwill,5288000000,4699000000
OtherAssetsNoncurrent,2608000000,4271000000
Assets,47072000000,46455000000
DebtCurrent,1307000000,1938000000
AccountsPayableCurrent,2994000000,3183000000
EmployeeRelatedLiabilitiesCurrent,1020000000,692000000
AccruedIncomeTaxesCurrent,260000000,259000000
OperatingLeaseLiabilityCurrent,263000000,261000000
OtherLiabilitiesCurrent,3191000000,3190000000
LiabilitiesCurrent,9035000000,9523000000
LongTermDebtNoncurrent,16056000000,14001000000
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,2870000000,1966000000
OperatingLeaseLiabilityNoncurrent,591000000,580000000
OtherLiabilitiesNoncurrent,3403000000,5615000000
Liabilities,31955000000,31685000000
CommitmentsAndContingencies,0.0,0.0
CommonStockValue,9000000,9000000
AdditionalPaidInCapitalCommonStock,6429000000,6691000000
RetainedEarningsAccumulatedDeficit,45821000000,47950000000
TreasuryStockCommonValue,30463000000,33255000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-6750000000,-6673000000
StockholdersEquity,15046000000,14722000000
MinorityInterest,71000000,48000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,15117000000,14770000000
LiabilitiesAndStockholdersEquity,47072000000,46455000000
