,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,6067000000,7378000000
ShortTermInvestments,2255000000,2244000000
FundsHeldForClients,3715000000,4783000000
PrepaidExpenseAndOtherAssetsCurrent,349000000,456000000
AssetsCurrent,12386000000,14861000000
PropertyPlantAndEquipmentNet,157000000,121000000
OperatingLeaseRightOfUseAsset,272000000,138000000
IntangibleAssetsNetExcludingGoodwill,52000000,34000000
Goodwill,653000000,650000000
OtherAssetsNoncurrent,188000000,234000000
Assets,13708000000,16038000000
AccountsPayableCurrent,118000000,137000000
OperatingLeaseLiabilityCurrent,63000000,59000000
AccruedLiabilitiesCurrent,1559000000,1817000000
ContractWithCustomerLiability,3715000000,4783000000
DeferredRevenueCurrent,904000000,1182000000
LiabilitiesCurrent,6359000000,7978000000
LongTermDebtNoncurrent,1983000000,1987000000
OperatingLeaseLiabilityNoncurrent,372000000,295000000
OtherLiabilitiesNoncurrent,219000000,218000000
Liabilities,8933000000,10478000000
CommitmentsAndContingencies,0.0,0.0
CommonStockValue,0,0
AdditionalPaidInCapital,11140000000,11557000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-7000000,-32000000
RetainedEarningsAccumulatedDeficit,-6358000000,-5965000000
StockholdersEquity,4775000000,5560000000
LiabilitiesAndStockholdersEquity,13708000000,16038000000
