,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,8052000000,14614000000
ShortTermInvestments,8192000000,2606000000
AccountsReceivableNetCurrent,2641000000,2517000000
UnbilledContractsReceivable,8620000000,8634000000
CustomerFinancingCurrent,117000000,154000000
InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings,78823000000,78151000000
OtherAssetsCurrent,2221000000,2847000000
AssetsCurrent,108666000000,109523000000
CustomerFinancingNoncurrent,1695000000,1450000000
PropertyPlantAndEquipmentNet,10918000000,10550000000
Goodwill,8068000000,8057000000
IntangibleAssetsNetExcludingGoodwill,2562000000,2311000000
DeferredIncomeTaxAssetsNet,77000000,63000000
LongTermInvestments,975000000,983000000
OtherAssetsNoncurrent,5591000000,4163000000
Assets,138552000000,137100000000
AccountsPayableCurrent,9261000000,10200000000
AccruedLiabilitiesCurrent,18455000000,21581000000
ContractWithCustomerLiabilityCurrent,52980000000,53081000000
DebtCurrent,1296000000,5190000000
LiabilitiesCurrent,81992000000,90052000000
DeferredIncomeTaxLiabilitiesNet,218000000,230000000
OtherPostretirementDefinedBenefitPlanLiabilitiesNoncurrent,3528000000,2503000000
DefinedBenefitPensionPlanLiabilitiesNoncurrent,9104000000,6141000000
OtherLiabilitiesNoncurrent,1750000000,2211000000
LongTermDebtAndCapitalLeaseObligations,56806000000,51811000000
Liabilities,153398000000,152948000000
CommonStockValue,5061000000,5061000000
AdditionalPaidInCapital,9052000000,9947000000
TreasuryStockValue,51861000000,50814000000
RetainedEarningsAccumulatedDeficit,34408000000,29473000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-11659000000,-9550000000
StockholdersEquity,-14999000000,-15883000000
MinorityInterest,153000000,35000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-14846000000,-15848000000
LiabilitiesAndStockholdersEquity,138552000000,137100000000
