,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,36220000000,53888000000
MarketableSecuritiesCurrent,59829000000,16138000000
InventoryNet,32640000000,34405000000
AccountsReceivableNetCurrent,32891000000,42360000000
AssetsCurrent,161580000000,146791000000
PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,160281000000,186715000000
OperatingLeaseRightOfUseAsset,56082000000,66123000000
Goodwill,15371000000,20288000000
OtherAssetsNoncurrent,27235000000,42758000000
Assets,420549000000,462675000000
AccountsPayableCurrent,78664000000,79600000000
AccruedLiabilitiesCurrent,51775000000,62566000000
ContractWithCustomerLiabilityCurrent,11827000000,13227000000
LiabilitiesCurrent,142266000000,155393000000
LeaseLiabilityNoncurrent,67651000000,72968000000
LongTermDebtNoncurrent,48744000000,67150000000
OtherLiabilitiesNoncurrent,23643000000,21121000000
CommitmentsAndContingencies,0.0,0.0
PreferredStockValue,0,0
CommonStockValue,106000000,108000000
TreasuryStockCommonValue,1837000000,7837000000
AdditionalPaidInCapital,55437000000,75066000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1376000000,-4487000000
RetainedEarningsAccumulatedDeficit,85915000000,83193000000
StockholdersEquity,138245000000,146043000000
LiabilitiesAndStockholdersEquity,420549000000,462675000000
