,2021-09-25,2022-09-24
CashAndCashEquivalentsAtCarryingValue,34940000000,23646000000
MarketableSecuritiesCurrent,27699000000,24658000000
AccountsReceivableNetCurrent,26278000000,28184000000
InventoryNet,6580000000,4946000000
NontradeReceivablesCurrent,25228000000,32748000000
OtherAssetsCurrent,14111000000,21223000000
AssetsCurrent,134836000000,135405000000
MarketableSecuritiesNoncurrent,127877000000,120805000000
PropertyPlantAndEquipmentNet,39440000000,42117000000
OtherAssetsNoncurrent,48849000000,54428000000
AssetsNoncurrent,216166000000,217350000000
Assets,351002000000,352755000000
AccountsPayableCurrent,54763000000,64115000000
OtherLiabilitiesCurrent,47493000000,60845000000
ContractWithCustomerLiabilityCurrent,7612000000,7912000000
CommercialPaper,6000000000,9982000000
LongTermDebtCurrent,9613000000,11128000000
LiabilitiesCurrent,125481000000,153982000000
LongTermDebtNoncurrent,109106000000,98959000000
OtherLiabilitiesNoncurrent,53325000000,49142000000
LiabilitiesNoncurrent,162431000000,148101000000
Liabilities,287912000000,302083000000
CommitmentsAndContingencies,0.0,0.0
CommonStocksIncludingAdditionalPaidInCapital,57365000000,64849000000
RetainedEarningsAccumulatedDeficit,5562000000,-3068000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,163000000,-11109000000
StockholdersEquity,63090000000,50672000000
LiabilitiesAndStockholdersEquity,351002000000,352755000000
