,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,11127000000,12221000000
ShortTermInvestments,25000000,175000000
AccountsAndOtherReceivablesNetCurrent,1358000000,2229000000
PrepaidExpenseCurrent,404000000,477000000
OtherAssetsCurrent,231000000,696000000
AssetsCurrent,13145000000,15798000000
PropertyPlantAndEquipmentNet,822000000,669000000
OperatingLeaseRightOfUseAsset,496000000,645000000
IntangibleAssetsNetExcludingGoodwill,2057000000,1829000000
Goodwill,2887000000,2807000000
LongTermInvestments,3175000000,2789000000
OtherAssetsNoncurrent,1059000000,824000000
Assets,23641000000,25361000000
AccountsPayableCurrent,1586000000,2507000000
AccruedLiabilitiesCurrent,1765000000,3244000000
DeferredMerchantBookings,906000000,2223000000
LongTermDebtCurrent,1989000000,500000000
LiabilitiesCurrent,6246000000,8474000000
DeferredIncomeTaxLiabilitiesNet,905000000,685000000
OperatingLeaseLiabilityNoncurrent,351000000,552000000
TaxCutsAndJobsActOf2017TransitionTaxForAccumulatedForeignEarningsLiabilityNoncurrent,825000000,711000000
OtherLiabilitiesNoncurrent,199000000,172000000
LongTermDebtNoncurrent,8937000000,11985000000
Liabilities,17463000000,22579000000
CommitmentsAndContingencies,0.0,0.0
CommonStockValue,0,0
TreasuryStockValue,24290000000,30983000000
AdditionalPaidInCapital,6159000000,6491000000
RetainedEarningsAccumulatedDeficit,24453000000,27541000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-144000000,-267000000
StockholdersEquity,6178000000,2782000000
LiabilitiesAndStockholdersEquity,23641000000,25361000000
