,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,2987000000,3520000000
ReceivablesNetCurrent,2403000000,2833000000
ContractWithCustomerAssetNetCurrent,503000000,537000000
InventoryNet,1970000000,2640000000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,3168000000,0
OtherAssetsCurrent,376000000,349000000
AssetsCurrent,11407000000,9879000000
DeferredIncomeTaxAssetsNet,563000000,612000000
PropertyPlantAndEquipmentNet,1826000000,2241000000
OperatingLeaseRightOfUseAsset,640000000,642000000
IntangibleAssetsNetExcludingGoodwill,509000000,1342000000
Goodwill,9349000000,9977000000
DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent,43000000,26000000
EquityMethodInvestments,1593000000,1148000000
OtherAssetsNoncurrent,242000000,219000000
Assets,26172000000,26086000000
AccountsPayableCurrent,2334000000,2833000000
AccruedLiabilitiesCurrent,2561000000,2610000000
ContractWithCustomerLiabilityCurrent,415000000,449000000
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,1134000000,0
LongTermDebtCurrent,183000000,140000000
LiabilitiesCurrent,6627000000,6032000000
LongTermDebtAndCapitalLeaseObligations,9513000000,8702000000
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,380000000,349000000
DeferredIncomeTaxLiabilitiesNet,354000000,568000000
OperatingLeaseLiabilityNoncurrent,527000000,529000000
OtherLiabilitiesNoncurrent,1677000000,1830000000
Liabilities,19078000000,18010000000
CommitmentsAndContingencies,0.0,0.0
CommonStockValue,9000000,9000000
TreasuryStockCommonValue,529000000,1910000000
AdditionalPaidInCapital,5411000000,5481000000
RetainedEarningsAccumulatedDeficit,2865000000,5866000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-989000000,-1688000000
MinorityInterest,327000000,318000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,7094000000,8076000000
LiabilitiesAndStockholdersEquity,26172000000,26086000000
