,2021-07-31,2022-07-30
CashAndCashEquivalentsAtCarryingValue,9175000000,7079000000
ShortTermInvestments,15343000000,12188000000
AccountsReceivableNetCurrent,5766000000,6622000000
InventoryNet,1559000000,2568000000
NotesAndLoansReceivableNetCurrent,4380000000,3905000000
OtherAssetsCurrent,2889000000,4355000000
AssetsCurrent,39112000000,36717000000
PropertyPlantAndEquipmentNet,2338000000,1997000000
NotesAndLoansReceivableNetNoncurrent,4884000000,4009000000
Goodwill,38168000000,38304000000
IntangibleAssetsNetExcludingGoodwill,3619000000,2569000000
DeferredIncomeTaxAssetsNet,4360000000,4449000000
OtherAssetsNoncurrent,5016000000,5957000000
Assets,97497000000,94002000000
DebtCurrent,2508000000,1099000000
AccountsPayableCurrent,2362000000,2281000000
AccruedIncomeTaxesCurrent,801000000,961000000
EmployeeRelatedLiabilitiesCurrent,3818000000,3316000000
ContractWithCustomerLiabilityCurrent,12148000000,12784000000
OtherLiabilitiesCurrent,4620000000,5199000000
LiabilitiesCurrent,26257000000,25640000000
LongTermDebtNoncurrent,9018000000,8416000000
AccruedIncomeTaxesNoncurrent,8538000000,7725000000
ContractWithCustomerLiabilityNoncurrent,10016000000,10480000000
OtherLiabilitiesNoncurrent,2393000000,1968000000
Liabilities,56222000000,54229000000
CommitmentsAndContingencies,0.0,0.0
PreferredStockValue,0,0
CommonStocksIncludingAdditionalPaidInCapital,42346000000,42714000000
RetainedEarningsAccumulatedDeficit,-654000000,-1319000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-417000000,-1622000000
StockholdersEquity,41275000000,39773000000
LiabilitiesAndStockholdersEquity,97497000000,94002000000
