,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,9684000000,9519000000
OtherShortTermInvestments,1242000000,1043000000
CashCashEquivalentsAndShortTermInvestments,10926000000,10562000000
MarketableSecurities,1699000000,1069000000
AccountsReceivableNetCurrent,3512000000,3487000000
InventoryNet,3414000000,4233000000
PrepaidExpenseAndOtherAssetsCurrent,2994000000,3240000000
AssetsCurrent,22545000000,22591000000
EquityMethodInvestments,17598000000,18264000000
OtherInvestments,818000000,501000000
OtherAssetsNoncurrent,6731000000,6189000000
DeferredIncomeTaxAssetsNet,2129000000,1746000000
PropertyPlantAndEquipmentNet,9920000000,9841000000
IndefiniteLivedTrademarks,14465000000,14214000000
Goodwill,19363000000,18782000000
OtherIntangibleAssetsNet,785000000,635000000
Assets,94354000000,92763000000
AccountsPayableAndAccruedLiabilitiesCurrent,14619000000,15749000000
ShortTermBorrowings,3307000000,2373000000
LongTermDebtCurrent,1338000000,399000000
AccruedIncomeTaxesCurrent,686000000,1203000000
LiabilitiesCurrent,19950000000,19724000000
LongTermDebtNoncurrent,38116000000,36377000000
OtherLiabilitiesNoncurrent,8607000000,7922000000
DeferredIncomeTaxLiabilitiesNet,2821000000,2914000000
CommonStockValue,1760000000,1760000000
AdditionalPaidInCapitalCommonStock,18116000000,18822000000
RetainedEarningsAccumulatedDeficit,69094000000,71019000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-14330000000,-14895000000
TreasuryStockValue,51641000000,52601000000
StockholdersEquity,22999000000,24105000000
MinorityInterest,1861000000,1721000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,24860000000,25826000000
LiabilitiesAndStockholdersEquity,94354000000,92763000000
