,2021-01-03,2022-01-02
CommonStockValueOutstanding,389000,361000
OperatingLeaseRightOfUseAsset,228268000,210702000
LandAndBuildingsGross,88063000,108372000
LongTermDebtAndCapitalLeaseObligations,4116018000,5014638000
LongTermDebtAndCapitalLeaseObligationsCurrent,2855000,55588000
CashAndCashEquivalentsAtCarryingValue,168821000,148160000
OperatingLeaseLiabilityNoncurrent,202268000,184471000
AccountsPayableCurrent,94499000,91547000
InvestmentInMarketableSecuritiesRestricted,13251000,15433000
RestrictedCashAndCashEquivalentsAtCarryingValue,217453000,180579000
LeaseholdImprovementsGross,186456000,193572000
PreferredStockValue,0,0
MachineryAndEquipmentGross,292456000,312772000
Goodwill,15061000,15034000
AccountsReceivableNetCurrent,244560000,255327000
EmployeeRelatedLiabilitiesCurrent,58520000,59567000
Liabilities,4867573000,5881352000
AccruedInsuranceNoncurrent,37125000,36913000
AdditionalPaidInCapitalCommonStock,5122000,840000
DeferredIncomeTaxLiabilitiesNet,6099000,3922000
InventoryNet,66683000,68328000
ConstructionInProgressGross,13014000,27815000
CapitalizedComputerSoftwareNet,81306000,95558000
Assets,1567168000,1671816000
InterestPayableCurrent,31695000,37982000
CommitmentsAndContingencies,0.0,0.0
RetainedEarningsAccumulatedDeficit,-3303492000,-4207917000
PrepaidExpenseAndOtherAssetsCurrent,24169000,27242000
OtherAccruedLiabilitiesNoncurrent,35244000,50667000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-2424000,-2820000
Investments,40000000,125840000
PropertyPlantAndEquipmentGross,579989000,642531000
OperatingLeaseLiabilityCurrent,35861000,37155000
LiabilitiesNoncurrent,4396754000,5290611000
AdvertisingFundAssetsRestricted,147698000,180904000
AccruedInsuranceCurrent,26377000,32588000
OtherAssetsNoncurrent,20630000,22535000
StockholdersEquity,-3300405000,-4209536000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,282625000,318466000
LiabilitiesAndStockholdersEquity,1567168000,1671816000
DeferredIncomeTaxAssetsNet,1904000,2109000
AdvertisingFundLiabilities,141175000,173737000
PropertyPlantAndEquipmentNet,297364000,324065000
AssetsCurrent,869384000,860540000
OtherAccruedLiabilitiesCurrent,79837000,102577000
AssetsNoncurrentExcludesPropertyPlantAndEquipmentNet,400420000,487211000
LiabilitiesCurrent,470819000,590741000
