,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,1379000000,2154000000
ShortTermInvestments,5944000000,2625000000
EquityMethodInvestmentsCurrent,0,2692000000
CustomerAccountsAndFundsReceivableCurrent,681000000,763000000
PrepaidExpenseAndOtherAssetsCurrent,1107000000,1056000000
AssetsCurrent,9111000000,9290000000
LongTermInvestmentsExcludingEquitySecuritiesFVNI,2575000000,1797000000
PropertyPlantAndEquipmentNet,1236000000,1238000000
Goodwill,4178000000,4262000000
OperatingLeaseRightOfUseAsset,289000000,513000000
DeferredIncomeTaxAssetsNet,3255000000,3169000000
EquityMethodInvestments,5391000000,0
OtherAssetsNoncurrent,591000000,581000000
Assets,26626000000,20850000000
ShortTermBorrowings,1355000000,1150000000
AccountsPayableCurrent,262000000,261000000
CustomerAccountsAndFundsPayableCurrent,707000000,768000000
OtherLiabilitiesCurrent,1927000000,1866000000
TaxesPayableCurrent,371000000,226000000
LiabilitiesCurrent,4622000000,4271000000
OperatingLeaseLiabilityNoncurrent,200000000,418000000
DeferredIncomeTaxLiabilitiesNet,3116000000,2245000000
LongTermDebt,7727000000,7721000000
OtherLiabilitiesNoncurrent,1183000000,1042000000
Liabilities,16848000000,15697000000
CommitmentsAndContingencies,0.0,0.0
CommonStockValue,2000000,2000000
AdditionalPaidInCapital,16659000000,17279000000
TreasuryStockValue,43371000000,46702000000
RetainedEarningsAccumulatedDeficit,36090000000,34315000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,398000000,259000000
StockholdersEquity,9778000000,5153000000
LiabilitiesAndStockholdersEquity,26626000000,20850000000
