,2021-05-31,2022-05-31
CashAndCashEquivalentsAtCarryingValue,7087000000,6897000000
FlightEquipmentCost,26268000000,27874000000
OperatingLeaseRightOfUseAsset,15383000000,16613000000
LongTermDebtAndCapitalLeaseObligationsCurrent,146000000,82000000
DeferredIncomeTaxLiabilitiesNet,3927000000,4093000000
CommonStockValue,32000000,32000000
ReceivablesNetCurrent,12069000000,11863000000
PackageHandlingAndGroundSupportEquipment,13012000000,14930000000
Goodwill,6992000000,6544000000
EmployeeRelatedLiabilitiesCurrent,2903000000,2531000000
LongTermDebtAndCapitalLeaseObligations,20733000000,20182000000
PensionAndOtherPostretirementAndPostemploymentBenefitPlansLiabilitiesNoncurrent,3501000000,4448000000
AdditionalPaidInCapitalCommonStock,3481000000,3712000000
SparePartsSuppliesAndFuelLessAllowances,587000000,637000000
InformationTechnology,7486000000,8098000000
OtherAssetsNoncurrent,4070000000,4381000000
AccountsPayableCurrent,3841000000,4030000000
SelfInsuranceAccrualsNoncurrent,2430000000,2889000000
RetainedEarningsAccumulatedDeficit,29817000000,32782000000
PrepaidExpenseAndOtherAssetsCurrent,837000000,968000000
VehiclesAndTrailers,9282000000,9806000000
OtherLongTermAssetsNoncurrentExcludingPropertyAndEquipment,26445000000,27538000000
Assets,82777000000,85994000000
OperatingLeaseLiabilityCurrent,2208000000,2443000000
OperatingLeaseLiabilityNoncurrent,13375000000,14487000000
CommitmentsAndContingencies,0.0,0.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-732000000,-1103000000
AssetsCurrent,20580000000,20365000000
FacilitiesAndOther,14029000000,14567000000
AccruedLiabilitiesCurrent,4562000000,5188000000
OtherLiabilitiesNoncurrent,983000000,682000000
TreasuryStockValue,8430000000,10484000000
LiabilitiesOtherThanLongtermDebtNoncurrent,24216000000,26599000000
PropertyPlantAndEquipmentGross,70077000000,75275000000
LiabilitiesCurrent,13660000000,14274000000
StockholdersEquity,24168000000,24939000000
LiabilitiesAndStockholdersEquity,82777000000,85994000000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,34325000000,37184000000
PropertyPlantAndEquipmentNet,35752000000,38091000000
