,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,20540000000,25134000000
MarketableSecuritiesCurrent,29053000000,18936000000
NotesAndLoansReceivableNetCurrent,32543000000,38720000000
AccountsReceivableNetCurrent,11370000000,15729000000
InventoryNet,12065000000,14080000000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,9000000,97000000
OtherAssetsCurrent,3416000000,3780000000
AssetsCurrent,108996000000,116476000000
NotesAndLoansReceivableNetNoncurrent,51256000000,49903000000
NetInvestmentInOperatingLeaseNoncurrent,26361000000,22772000000
PropertyPlantAndEquipmentNet,37139000000,37265000000
EquityMethodInvestments,4545000000,2798000000
DeferredIncomeTaxAssetsNet,13796000000,15552000000
OtherAssetsNoncurrent,14942000000,11118000000
Assets,257035000000,255884000000
AccountsPayableAndAccruedLiabilitiesCurrent,22349000000,25605000000
OtherLiabilitiesCurrent,18686000000,21097000000
DebtCurrent,,
LiabilitiesCurrent,90727000000,96866000000
OtherLiabilitiesNoncurrent,27705000000,25497000000
LongTermDebtAndCapitalLeaseObligations,,
DeferredIncomeTaxLiabilitiesNet,1581000000,1549000000
Liabilities,208413000000,212717000000
CommonStockValue,,
CommonStockParOrStatedValuePerShare,,
CommonStockSharesIssued,,
CommonStockSharesAuthorized,,
AdditionalPaidInCapitalCommonStock,22611000000,22832000000
RetainedEarningsAccumulatedDeficit,35769000000,31754000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-8339000000,-9339000000
TreasuryStockValue,1563000000,2047000000
StockholdersEquity,48519000000,43242000000
MinorityInterest,103000000,-75000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,48622000000,43167000000
LiabilitiesAndStockholdersEquity,257035000000,255884000000
