,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,20067000000,19153000000
AvailableForSaleSecuritiesDebtSecuritiesCurrent,8609000000,12150000000
AccountsReceivableNetCurrent,7394000000,13333000000
NotesAndLoansReceivableNetCurrent,,
InventoryNet,12988000000,15366000000
OtherAssetsCurrent,6396000000,6825000000
AssetsCurrent,82103000000,100451000000
NotesAndLoansReceivableNetNoncurrent,,
EquityMethodInvestments,9677000000,10176000000
PropertyPlantAndEquipmentNet,41115000000,45248000000
IntangibleAssetsNetIncludingGoodwill,5087000000,4945000000
OperatingLeaseRightofuseAssetNoncurrent,37929000000,32701000000
DeferredIncomeTaxAssetsNet,21152000000,20539000000
OtherAssetsNoncurrent,11488000000,9386000000
AssetsNoncurrent,162615000000,163586000000
Assets,244718000000,264037000000
AccountsPayableCurrent,20391000000,27486000000
DebtCurrent,,
AccruedLiabilitiesCurrent,20297000000,24910000000
LiabilitiesCurrent,74408000000,91173000000
LongTermDebtAndCapitalLeaseObligations,,
OtherPostretirementDefinedBenefitPlanLiabilitiesNoncurrent,5743000000,4193000000
DefinedBenefitPensionPlanLiabilitiesNoncurrent,8008000000,5698000000
OtherLiabilitiesNoncurrent,15085000000,14767000000
LiabilitiesNoncurrent,104495000000,100579000000
Liabilities,178903000000,191752000000
CommitmentsAndContingencies,0.0,0.0
RedeemableNoncontrollingInterestEquityCarryingAmount,0,357000000
CommonStockValue,15000000,14000000
AdditionalPaidInCapital,27061000000,26428000000
RetainedEarningsAccumulatedDeficit,41937000000,49251000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-9269000000,-7901000000
StockholdersEquity,59744000000,67792000000
MinorityInterest,6071000000,4135000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,65815000000,71927000000
LiabilitiesAndStockholdersEquity,244718000000,264037000000
