,2021-10-31,2022-10-31
CashAndCashEquivalentsAtCarryingValue,3996000000,4163000000
AccountsReceivableNetCurrent,3979000000,4101000000
NotesReceivableNetCurrent,3932000000,3522000000
InventoryNet,4511000000,5161000000
OtherAssetsCurrent,2460000000,3559000000
AssetsCurrent,18878000000,20506000000
PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,5613000000,5784000000
OtherAssetsNoncurrent,11670000000,10537000000
EquityMethodInvestments,2210000000,2160000000
Goodwill,18306000000,17403000000
IntangibleAssetsNetExcludingGoodwill,1022000000,733000000
Assets,57699000000,57123000000
DebtCurrent,3552000000,4612000000
AccountsPayableCurrent,7004000000,8717000000
EmployeeRelatedLiabilitiesCurrent,1778000000,1401000000
TaxesonEarnings,169000000,176000000
ContractWithCustomerLiabilityCurrent,3408000000,3451000000
RestructuringReserveCurrent,290000000,192000000
OtherLiabilitiesCurrent,4486000000,4625000000
LiabilitiesCurrent,20687000000,23174000000
LongTermDebtAndCapitalLeaseObligations,9896000000,7853000000
OtherLiabilitiesNoncurrent,7099000000,6187000000
CommitmentsAndContingencies,0.0,0.0
CommonStockValueOutstanding,13000000,13000000
AdditionalPaidInCapitalCommonStock,28470000000,28299000000
RetainedEarningsAccumulatedDeficit,-5597000000,-5350000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-2915000000,-3098000000
StockholdersEquity,19971000000,19864000000
StockholdersEquityAttributabletoNoncontrollingInterestContinuingOperations,46000000,45000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,20017000000,19909000000
LiabilitiesAndStockholdersEquity,57699000000,57123000000
