,2021-12-26,2022-12-25
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,1019200000,513100000
AccountsReceivableNetCurrent,1500400000,1132400000
InventoryNet,552100000,676800000
PrepaidExpenseAndOtherAssetsCurrent,656400000,676800000
AssetsCurrent,3728100000,2999100000
PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,421100000,422800000
Goodwill,3419600000,3470100000
IntangibleAssetsNetExcludingGoodwill,1172000000,814600000
OtherAssetsNoncurrent,1297000000,1589300000
AssetsNoncurrentExcludingPropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,5888600000,5874000000
Assets,10037800000,9295900000
ShortTermBorrowings,800000,142400000
LongTermDebtCurrent,200100000,113200000
AccountsPayableCurrent,580200000,427300000
AccruedLiabilitiesCurrent,1674800000,1506800000
LiabilitiesCurrent,2455900000,2189700000
LongTermDebtNoncurrent,3824200000,3711200000
OtherLiabilitiesNoncurrent,670700000,533100000
Liabilities,6950800000,6434000000
TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,23900000,0
PreferredStockValue,0,0
CommonStockValue,110100000,110100000
AdditionalPaidInCapitalCommonStock,2428000000,2540600000
RetainedEarningsAccumulatedDeficit,4257800000,4071400000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-235300000,-254900000
TreasuryStockCommonValue,3534700000,3634400000
MinorityInterest,37200000,29100000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,3063100000,2861900000
LiabilitiesAndStockholdersEquity,10037800000,9295900000
