,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,1427000000,1209000000
RestrictedCashAndCashEquivalentsAtCarryingValue,85000000,77000000
AccountsReceivableNetCurrent,1068000000,1327000000
PrepaidExpenseCurrent,89000000,105000000
OtherAssetsCurrent,202000000,152000000
AssetsCurrent,2871000000,2870000000
Goodwill,5071000000,5032000000
IndefiniteLivedIntangibleAssetsExcludingGoodwill,4883000000,4840000000
FiniteLivedIntangibleAssetsNet,,
OperatingLeaseRightOfUseAsset,694000000,662000000
PropertyPlantAndEquipmentNet,305000000,280000000
DeferredIncomeTaxesAndOtherAssetsNoncurrent,213000000,204000000
OtherAssetsNoncurrent,452000000,576000000
AssetsNoncurrent,12570000000,12642000000
Assets,15441000000,15512000000
AccountsPayableAndAccruedLiabilitiesCurrent,1568000000,1790000000
LongTermDebtAndCapitalLeaseObligationsCurrent,54000000,39000000
DeferredRevenueCurrent,350000000,433000000
ContractWithCustomerLiabilityCurrent,,
LiabilitiesCurrent,3019000000,3372000000
LongTermDebtAndCapitalLeaseObligations,8712000000,8708000000
OperatingLeaseLiabilityNoncurrent,870000000,832000000
DeferredRevenueNoncurrent,896000000,986000000
DeferredTaxLiabilitiesDeferredExpense,700000000,735000000
ContractWithCustomerLiabilityNoncurrent,,
OtherLiabilitiesNoncurrent,746000000,692000000
Liabilities,16260000000,16610000000
CommitmentsAndContingencies,0.0,0.0
CommonStockValueOutstanding,3000000,3000000
TreasuryStockValue,4443000000,6040000000
AdditionalPaidInCapital,10720000000,10831000000
RetainedEarningsAccumulatedDeficit,-6322000000,-5190000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-779000000,-706000000
StockholdersEquity,-821000000,-1102000000
MinorityInterest,2000000,4000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-819000000,-1098000000
LiabilitiesAndStockholdersEquity,15441000000,15512000000
