,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,6650000000,7886000000
RestrictedCash,307000000,103000000
DebtSecuritiesAvailableForSaleExcludingAccruedInterestCurrent,600000000,852000000
AccountsReceivableNetCurrent,6754000000,6541000000
NotesAndLoansReceivableNetCurrent,7221000000,6851000000
TradeAndLoansReceivablesHeldForSaleNetNotPartOfDisposalGroup,793000000,939000000
OtherReceivablesNetCurrent,1002000000,817000000
InventoryNet,1649000000,1552000000
CapitalizedContractCostNetCurrent,1097000000,967000000
PrepaidExpenseAndOtherAssetsCurrent,3466000000,2611000000
AssetsCurrent,29539000000,29118000000
PropertyPlantAndEquipmentGross,20085000000,18695000000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,14390000000,13361000000
PropertyPlantAndEquipmentNet,5694000000,5334000000
OperatingLeaseRightOfUseAsset,3222000000,2878000000
NotesAndLoansReceivableNetNoncurrent,5425000000,5806000000
DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent,9850000000,8236000000
CapitalizedContractCostNetNoncurrent,924000000,866000000
DeferredIncomeTaxAssetsNet,7370000000,6256000000
Goodwill,55643000000,55949000000
FiniteLivedIntangibleAssetsNet,12511000000,11184000000
InvestmentsAndOtherNoncurrentAssets,1823000000,1617000000
Assets,132001000000,127243000000
TaxesPayableCurrent,2289000000,2196000000
ShortTermBorrowings,6787000000,4760000000
AccountsPayableCurrent,3955000000,4051000000
EmployeeRelatedLiabilitiesCurrent,3204000000,3481000000
DeferredRevenueCurrent,12518000000,12032000000
OperatingLeaseLiabilityCurrent,974000000,874000000
AccruedLiabilitiesAndOtherLiabilitiesCurrent,3892000000,4111000000
LiabilitiesCurrent,33619000000,31505000000
LongTermDebtNoncurrent,44917000000,46189000000
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,14435000000,9596000000
DeferredRevenueNoncurrent,3577000000,3499000000
OperatingLeaseLiabilityNoncurrent,2462000000,2190000000
OtherLiabilitiesNoncurrent,13996000000,12243000000
Liabilities,113005000000,105222000000
CommitmentsAndContingencies,0.0,0.0
CommonStocksIncludingAdditionalPaidInCapital,57319000000,58343000000
RetainedEarningsAccumulatedDeficit,154209000000,149825000000
TreasuryStockCommonValue,169392000000,169484000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-23234000000,-16740000000
StockholdersEquity,18901000000,21944000000
MinorityInterest,95000000,77000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,18996000000,22021000000
LiabilitiesAndStockholdersEquity,132001000000,127243000000
