,2021-12-25,2022-12-31
CashAndCashEquivalentsAtCarryingValue,3445000000,1040000000
AccountsReceivableNetCurrent,1957000000,2120000000
InventoryNet,2729000000,3651000000
PrepaidExpenseCurrent,136000000,240000000
OtherAssetsCurrent,716000000,842000000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,11000000,4000000
AssetsCurrent,8994000000,7897000000
PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,6806000000,6740000000
Goodwill,31296000000,30833000000
IntangibleAssetsNetExcludingGoodwill,43542000000,42649000000
OtherAssetsNoncurrent,2756000000,2394000000
Assets,93394000000,90513000000
ShortTermBorrowings,14000000,6000000
LongTermDebtAndCapitalLeaseObligationsCurrent,740000000,831000000
AccountsPayableTradeCurrent,4753000000,4848000000
AccruedMarketingCostsCurrent,804000000,749000000
InterestPayableCurrent,268000000,264000000
AccruedIncomeTaxesCurrent,541000000,136000000
OtherLiabilitiesCurrent,1944000000,2194000000
LiabilitiesCurrent,9064000000,9028000000
LongTermDebtAndCapitalLeaseObligations,21061000000,19233000000
DeferredIncomeTaxLiabilitiesNet,10536000000,10152000000
PostemploymentBenefitsLiabilityNoncurrent,205000000,144000000
DeferredIncomeNoncurrent,1534000000,1477000000
OtherLiabilitiesNoncurrent,1542000000,1609000000
Liabilities,43942000000,41643000000
CommitmentsAndContingencies,0.0,0.0
RedeemableNoncontrollingInterestEquityCarryingAmount,4000000,40000000
CommonStockValue,12000000,12000000
AdditionalPaidInCapital,53379000000,51834000000
RetainedEarningsAccumulatedDeficit,-1682000000,489000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1824000000,-2810000000
TreasuryStockValue,587000000,847000000
StockholdersEquity,49298000000,48678000000
MinorityInterest,150000000,152000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,49448000000,48830000000
LiabilitiesAndStockholdersEquity,93394000000,90513000000
