,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,4709200000,2583800000
AccountsNotesAndLoansReceivableNetCurrent,1872400000,2115000000
InventoryNet,55600000,52000000.0
PrepaidExpenseAndOtherAssetsCurrent,511300000,673400000
AssetsCurrent,7148500000,5424200000
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,1201200000,1064500000
Goodwill,2782500000,2900400000
OtherAssetsNoncurrent,4449500000,4707200000
TotalOtherAssets,8433200000,8672100000
OperatingLeaseRightOfUseAsset,13552000000,12565700000
PropertyPlantAndEquipmentGross,41916600000,41037600000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,17196000000,17264000000
PropertyPlantAndEquipmentNet,24720600000,23773600000
Assets,53854300000,50435600000
AccountsPayableCurrent,1006800000,980200000
OperatingLeaseLiabilityCurrent,705500000,661100000
AccruedIncomeTaxesCurrent,360700000,274900000
AccrualForTaxesOtherThanIncomeTaxesCurrent,236700000,255100000
InterestPayableCurrent,363300000,393400000
AccruedExpensesAndOtherCurrentLiabilities,1347000000,1237400000
LiabilitiesCurrent,4020000000,3802100000
LongTermDebtNoncurrent,35622700000,35903500000
OperatingLeaseLiabilityNoncurrent,13020900000,12134400000
AccruedIncomeTaxesNoncurrent,1896800000,791900000
DeferredRevenueNoncurrent,738300000,757800000
OtherLiabilitiesNoncurrent,1081000000,1051800000
DeferredIncomeTaxLiabilitiesNet,2075600000,1997500000
PreferredStockValue,0,0
CommonStockValue,16600000,16600000
AdditionalPaidInCapital,8231600000,8547100000
RetainedEarningsAccumulatedDeficit,57534700000,59543900000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-2573700000,-2486600000
TreasuryStockValue,67810200000,71624400000
StockholdersEquity,-4601000000,-6003400000
LiabilitiesAndStockholdersEquity,53854300000,50435600000
