,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,1393000000,507000000
AccountsNotesAndLoansReceivableNetCurrent,1982000000,2571000000
PrepaidExpenseAndOtherAssets,251000000,235000000
AssetsCurrent,3626000000,3313000000
PropertyPlantAndEquipmentNet,1503000000,1585000000
IntangibleAssetsNetExcludingGoodwill,8926000000,8747000000
Goodwill,9073000000,8872000000
IntangibleAssetsNetIncludingGoodwill,17999000000,17619000000
EquityMethodInvestments,387000000,335000000
NotesAndLoansReceivableNetNoncurrent,144000000,152000000
DeferredIncomeTaxAssetsNet,228000000,240000000
OperatingLeaseRightOfUseAsset,1062000000,987000000
OtherAssetsNoncurrent,604000000,584000000
Assets,25553000000,24815000000
LongTermDebtAndCapitalLeaseObligationsCurrent,805000000,684000000
AccountsPayableTradeCurrent,726000000,746000000
EmployeeRelatedLiabilitiesCurrent,1187000000,1299000000
ContractWithCustomerLiabilityCurrent,,
OtherLiabilitiesCurrent,1167000000,1296000000
LiabilitiesCurrent,6407000000,7339000000
LongTermDebtAndCapitalLeaseObligations,9333000000,9380000000
ContractWithCustomerLiabilityNoncurrent,,
DeferredIncomeTaxLiabilitiesNet,169000000,313000000
OperatingLeaseLiabilityNoncurrent,1098000000,1034000000
OtherLiabilitiesNoncurrent,2002000000,1842000000
CommonStockValue,5000000,5000000
AdditionalPaidInCapitalCommonStock,5892000000,5965000000
RetainedEarningsAccumulatedDeficit,10305000000,12342000000
TreasuryStockCommonValue,14446000000,17015000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-342000000,-729000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1414000000,568000000
LiabilitiesAndStockholdersEquity,25553000000,24815000000
