,2021-06-30,2022-06-30
LiabilitiesAndStockholdersEquity,333779000000,364840000000
StockholdersEquity,141988000000,166542000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1822000000,-4678000000
RetainedEarningsAccumulatedDeficit,57055000000,84281000000
CommonStocksIncludingAdditionalPaidInCapital,83111000000,86939000000
CommitmentsAndContingencies,0.0,0.0
Liabilities,191791000000,198298000000
OtherLiabilitiesNoncurrent,13427000000,15526000000
OperatingLeaseLiabilityNoncurrent,9629000000,11489000000
DeferredIncomeTaxLiabilitiesNet,198000000,230000000
ContractWithCustomerLiabilityNoncurrent,2616000000,2870000000
AccruedIncomeTaxesNoncurrent,27190000000,26069000000
LongTermDebtNoncurrent,50074000000,47032000000
LiabilitiesCurrent,88657000000,95082000000
OtherLiabilitiesCurrent,11666000000,13067000000
ContractWithCustomerLiabilityCurrent,41525000000,45538000000
AccruedIncomeTaxesCurrent,2174000000,4067000000
EmployeeRelatedLiabilitiesCurrent,10057000000,10661000000
LongTermDebtCurrent,8072000000,2749000000
AccountsPayableCurrent,15163000000,19000000000
Assets,333779000000,364840000000
OtherAssetsNoncurrent,15075000000,21897000000
FiniteLivedIntangibleAssetsNet,7800000000,11298000000
Goodwill,49711000000,67524000000
LongTermInvestments,5984000000,6891000000
OperatingLeaseRightOfUseAsset,11088000000,13148000000
PropertyPlantAndEquipmentNet,59715000000,74398000000
AssetsCurrent,184406000000,169684000000
OtherAssetsCurrent,13393000000,16924000000
InventoryNet,2636000000,3742000000
AccountsReceivableNetCurrent,38043000000,44261000000
CashCashEquivalentsAndShortTermInvestments,130334000000,104757000000
ShortTermInvestments,116110000000,90826000000
CashAndCashEquivalentsAtCarryingValue,14224000000,13931000000
