,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,6848000000,3205000000
AvailableForSaleSecuritiesDebtSecuritiesCurrent,3879000000,6697000000
AccountsReceivableNetCurrent,3175000000,1385000000
InventoryNet,1441000000,949000000
PrepaidExpenseAndOtherAssetsCurrent,728000000,1195000000
AssetsCurrent,16071000000,13431000000
AvailableForSaleSecuritiesDebtSecuritiesNoncurrent,6843000000,8318000000
PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,1241000000,2018000000
OperatingLeaseRightOfUseAsset,142000000,121000000
DeferredIncomeTaxAssetsNet,326000000,982000000
OtherAssetsNoncurrent,46000000,988000000
Assets,24669000000,25858000000
AccountsPayableCurrent,302000000,487000000
AccruedLiabilitiesCurrent,1472000000,2101000000
ContractWithCustomerLiabilityCurrent,6253000000,2038000000
TaxesPayableCurrent,876000000,48000000
OtherLiabilitiesCurrent,225000000,249000000
LiabilitiesCurrent,9128000000,4923000000
ContractWithCustomerLiabilityNoncurrent,615000000,673000000
OperatingLeaseLiabilityNoncurrent,106000000,92000000
FinanceLeaseLiabilityNoncurrent,599000000,912000000
OtherLiabilitiesNoncurrent,76000000,135000000
Liabilities,10524000000,6735000000
CommitmentsAndContingencies,0.0,0.0
PreferredStockValue,0,0
CommonStockValue,0,0
AdditionalPaidInCapital,4211000000,1173000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-24000000,-370000000
RetainedEarningsAccumulatedDeficit,9958000000,18320000000
StockholdersEquity,14145000000,19123000000
LiabilitiesAndStockholdersEquity,24669000000,25858000000
