,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,1874000000,1325000000
AccountsReceivableNetCurrent,1386000000,1518000000
ContractWithCustomerAssetNetCurrent,1105000000,974000000
InventoryNet,788000000,1055000000
OtherAssetsCurrent,259000000,383000000
AssetsCurrent,5412000000,5255000000
PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,1042000000,927000000
OperatingLeaseRightOfUseAsset,382000000,485000000
LongTermInvestments,209000000,147000000
DeferredIncomeTaxAssetsNet,916000000,1036000000
Goodwill,2565000000,3312000000
FiniteLivedIntangibleAssetsNet,1105000000,1342000000
OtherAssetsNoncurrent,558000000,310000000
Assets,12189000000,12814000000
LongTermDebtCurrent,5000000,1000000
AccountsPayableCurrent,851000000,1062000000
ContractWithCustomerLiabilityCurrent,1650000000,1859000000
AccruedLiabilitiesCurrent,1557000000,1638000000
LiabilitiesCurrent,4063000000,4560000000
LongTermDebtNoncurrent,5688000000,6013000000
OperatingLeaseLiabilityNoncurrent,313000000,419000000
OtherLiabilitiesNoncurrent,2148000000,1691000000
PreferredStockValue,0,0
CommonStockValue,2000000,2000000
AdditionalPaidInCapitalCommonStock,987000000,1306000000
RetainedEarningsAccumulatedDeficit,1350000000,1343000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-2379000000,-2535000000
StockholdersEquity,-40000000,116000000
MinorityInterest,17000000,15000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-23000000,131000000
LiabilitiesAndStockholdersEquity,12189000000,12814000000
