,2021-01-31,2022-01-30
CashAndCashEquivalentsAtCarryingValue,847000000,1990000000
MarketableSecuritiesCurrent,10714000000,19218000000
AccountsReceivableNetCurrent,2429000000,4650000000
InventoryNet,1826000000,2605000000
PrepaidExpenseAndOtherAssetsCurrent,239000000,366000000
AssetsCurrent,16055000000,28829000000
PropertyPlantAndEquipmentNet,2149000000,2778000000
OperatingLeaseRightOfUseAsset,707000000,829000000
Goodwill,4193000000,4349000000
IntangibleAssetsNetExcludingGoodwill,2737000000,2339000000
DeferredIncomeTaxAssetsNet,806000000,1222000000
OtherAssetsNoncurrent,2144000000,3841000000
Assets,28791000000,44187000000
AccountsPayableCurrent,1149000000,1783000000
AccruedLiabilitiesCurrent,1777000000,2552000000
DebtCurrent,999000000,0
LiabilitiesCurrent,3925000000,4335000000
LongTermDebtNoncurrent,5964000000,10946000000
OperatingLeaseLiabilityNoncurrent,634000000,741000000
OtherLiabilitiesNoncurrent,1375000000,1553000000
Liabilities,11898000000,17575000000
CommitmentsAndContingencies,0.0,0.0
PreferredStockValueOutstanding,0,0
CommonStockValue,3000000,3000000
AdditionalPaidInCapital,8719000000,10385000000
TreasuryStockValue,10756000000,0
AccumulatedOtherComprehensiveIncomeLossNetOfTax,19000000,-11000000
RetainedEarningsAccumulatedDeficit,18908000000,16235000000
StockholdersEquity,16893000000,26612000000
LiabilitiesAndStockholdersEquity,28791000000,44187000000
