,2021-04-30,2022-04-29
CashAndCashEquivalentsAtCarryingValue,4529000000,4112000000
AccountsPayableCurrent,420000000,607000000
PreferredStockValue,0,0
ShortTermInvestments,67000000,22000000
PropertyPlantAndEquipmentNet,525000000,602000000
AccruedLiabilitiesCurrent,970000000,925000000
LongTermDebtNoncurrent,2632000000,2386000000
CommonStocksIncludingAdditionalPaidInCapital,504000000,760000000
LongTermDebtCurrent,0,250000000
AccountsReceivableNetCurrent,945000000,1230000000
Goodwill,2039000000,2346000000
OtherLiabilitiesNoncurrent,650000000,788000000
RetainedEarningsAccumulatedDeficit,211000000,122000000
ContractWithCustomerLiabilityCurrent,2062000000,2171000000
InventoryNet,114000000,204000000
FiniteLivedIntangibleAssetsNet,101000000,142000000
ContractWithCustomerLiabilityNoncurrent,1941000000,2061000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-30000000,-44000000
LiabilitiesCurrent,3452000000,3953000000
OtherAssetsCurrent,346000000,377000000
OtherAssetsNoncurrent,694000000,991000000
Liabilities,8675000000,9188000000
StockholdersEquity,685000000,838000000
AssetsCurrent,6001000000,5945000000
Assets,9360000000,10026000000
CommitmentsAndContingencies,0,0
LiabilitiesAndStockholdersEquity,9360000000,10026000000
