,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,6027804000,5147176000
ShortTermInvestments,0,911276000
OtherAssetsCurrent,2042021000,3208021000
AssetsCurrent,8069825000,9266473000
ContentAssetsNetNoncurrent,30919539000,32736713000
PropertyPlantAndEquipmentNet,1323453000,1398257000
OtherAssetsNoncurrent,4271846000,5193325000
Assets,44584663000,48594768000
ContentLiabilitiesCurrent,4292967000,4480150000
AccountsPayableCurrent,837483000,671513000
AccruedLiabilitiesCurrent,1449351000,1514650000
ContractWithCustomerLiabilityCurrent,1209342000,1264661000
ShortTermBorrowings,699823000,0
LiabilitiesCurrent,8488966000,7930974000
ContentLiabilitiesNoncurrent,3094213000,3081277000
LongTermDebtNoncurrent,14693072000,14353076000
OtherLiabilitiesNoncurrent,2459164000,2452040000
Liabilities,28735415000,27817367000
CommitmentsAndContingencies,0.0,0.0
PreferredStockValue,0,0
CommonStockValue,4024561000,4637601000
TreasuryStockCommonValue,824190000,824190000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-40495000,-217306000
RetainedEarningsAccumulatedDeficit,12689372000,17181296000
StockholdersEquity,15849248000,20777401000
LiabilitiesAndStockholdersEquity,44584663000,48594768000
