,2021-05-31,2022-05-31
CashAndCashEquivalentsAtCarryingValue,9889000000,8574000000
DebtSecuritiesAvailableForSaleExcludingAccruedInterestCurrent,3587000000,4423000000
AccountsReceivableNetCurrent,4463000000,4667000000
InventoryFinishedGoodsNetOfReserves,6854000000,8420000000
PrepaidExpenseAndOtherAssetsCurrent,1498000000,2129000000
AssetsCurrent,26291000000,28213000000
PropertyPlantAndEquipmentNet,4904000000,4791000000
OperatingLeaseRightOfUseAsset,3113000000,2926000000
IntangibleAssetsNetExcludingGoodwill,269000000,286000000
Goodwill,242000000,284000000
DeferredIncomeTaxesAndOtherAssetsNoncurrent,2921000000,3821000000
Assets,37740000000,40321000000
LongTermDebtCurrent,0,500000000
ShortTermBorrowings,2000000,10000000
AccountsPayableCurrent,2836000000,3358000000
OperatingLeaseLiabilityCurrent,467000000,420000000
AccruedLiabilitiesCurrent,6063000000,6220000000
AccruedIncomeTaxesCurrent,306000000,222000000
LiabilitiesCurrent,9674000000,10730000000
LongTermDebtNoncurrent,9413000000,8920000000
OperatingLeaseLiabilityNoncurrent,2931000000,2777000000
DeferredIncomeTaxesAndOtherLiabilitiesNoncurrent,2955000000,2613000000
CommitmentsAndContingencies,0.0,0.0
TemporaryEquityCarryingAmountAttributableToParent,0,0
CommonStockValue,,
AdditionalPaidInCapitalCommonStock,9965000000,11484000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-380000000,318000000
RetainedEarningsAccumulatedDeficit,3179000000,3476000000
StockholdersEquity,12767000000,15281000000
LiabilitiesAndStockholdersEquity,37740000000,40321000000
