,2021-05-31,2022-05-31
LiabilitiesAndStockholdersEquity,131107000000,109297000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,5952000000,-5768000000
MinorityInterest,714000000,452000000
StockholdersEquity,5238000000,-6220000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1175000000,-1692000000
RetainedEarningsAccumulatedDeficit,-20120000000,-31336000000
CommonStocksIncludingAdditionalPaidInCapital,26533000000,26808000000
PreferredStockValue,0,0
CommitmentsAndContingencies,0,0
LiabilitiesNoncurrent,100991000000,95554000000
OtherLiabilitiesNoncurrent,4787000000,5203000000
DeferredIncomeTaxLiabilitiesNet,7864000000,6031000000
AccruedIncomeTaxesNoncurrent,12345000000,12210000000
LongTermNotesAndLoans,75995000000,72110000000
LiabilitiesCurrent,24164000000,19511000000
OtherLiabilitiesCurrent,4377000000,4144000000
ContractWithCustomerLiabilityCurrent,8775000000,8357000000
EmployeeRelatedLiabilitiesCurrent,2017000000,1944000000
AccountsPayableCurrent,745000000,1317000000
NotesPayableCurrent,8250000000,3749000000
Assets,131107000000,109297000000
AssetsNoncurrent,75540000000,77664000000
OtherAssetsNoncurrent,8490000000,9915000000
DeferredIncomeTaxAssetsNet,13636000000,12782000000
Goodwill,43935000000,43811000000
FiniteLivedIntangibleAssetsNet,2430000000,1440000000
PropertyPlantAndEquipmentNet,7049000000,9716000000
AssetsCurrent,55567000000,31633000000
PrepaidExpenseAndOtherAssetsCurrent,3604000000,3778000000
AccountsReceivableNetCurrent,5409000000,5953000000
AvailableForSaleSecuritiesDebtSecuritiesCurrent,16456000000,519000000
CashAndCashEquivalentsAtCarryingValue,30098000000,21383000000
