,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,1565000000,1189000000
RestrictedCashCurrent,1910000000,5000000
AccountsReceivableNetCurrent,3232000000,3357000000
ContractWithCustomerAssetNetCurrent,550000000,664000000
InventoryNet,622000000,617000000
OtherAssetsCurrent,382000000,311000000
AssetsCurrent,8261000000,6143000000
DeferredIncomeTaxAssetsNet,335000000,285000000
PropertyPlantAndEquipmentNet,774000000,719000000
OperatingLeaseRightOfUseAsset,526000000,449000000
IntangibleAssetsNetExcludingGoodwill,419000000,369000000
Goodwill,1667000000,1567000000
OtherAssetsNoncurrent,297000000,287000000
Assets,12279000000,9819000000
DebtCurrent,24000000,670000000
AccountsPayableCurrent,1556000000,1717000000
AccruedLiabilitiesCurrent,1993000000,1794000000
ContractWithCustomerLiabilityCurrent,2674000000,2662000000
LiabilitiesCurrent,6247000000,6843000000
LongTermDebtNoncurrent,7249000000,6098000000
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,558000000,392000000
OperatingLeaseLiabilityNoncurrent,336000000,315000000
DeferredIncomeTaxLiabilitiesNet,267000000,279000000
OtherLiabilitiesNoncurrent,606000000,556000000
Liabilities,15263000000,14483000000
CommitmentsAndContingencies,0.0,0.0
RedeemableNoncontrollingInterestEquityCarryingAmount,160000000,135000000
CommonStockValue,119000000,162000000
TreasuryStockValue,725000000,1575000000
RetainedEarningsAccumulatedDeficit,-2256000000,-2865000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-763000000,-592000000
StockholdersEquity,-3625000000,-4870000000
MinorityInterest,481000000,71000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-3144000000,-4799000000
LiabilitiesAndStockholdersEquity,12279000000,9819000000
