,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,6267000000,2885000000
AccountsReceivableNetCurrent,6984000000,7412000000
FilmCapitalizedCostCurrent,1504000000,1342000000
PrepaidExpenseAndOtherAssetsCurrent,1176000000,1308000000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,745000000,787000000
AssetsCurrent,16676000000,13734000000
PropertyPlantAndEquipmentNet,1736000000,1762000000
FilmCapitalizedCostNoncurrent,13358000000,16278000000
Goodwill,16584000000,16499000000
IntangibleAssetsNetExcludingGoodwill,2772000000,2694000000
OperatingLeaseRightOfUseAsset,1630000000,1391000000
DeferredIncomeTaxAssetsNet,1206000000,1242000000
OtherAssetsNoncurrent,3824000000,3991000000
AssetsHeldForSaleNoncurrent,19000000,0
DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent,815000000,802000000
Assets,58620000000,58393000000
AccountsPayableCurrent,800000000,1403000000
AccruedLiabilitiesCurrent,2323000000,2071000000
AccruedRoyaltiesCurrent,2159000000,2416000000
ProgramRightsObligationsCurrent,1342000000,2063000000
ContractWithCustomerLiabilityCurrent,1091000000,973000000
DebtCurrent,11000000,239000000
OtherLiabilitiesCurrent,1182000000,1477000000
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,571000000,549000000
LiabilitiesCurrent,9479000000,11191000000
LongTermDebtAndCapitalLeaseObligations,17698000000,15607000000
AccruedRoyaltiesNoncurrent,1244000000,1744000000
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,1946000000,1458000000
DeferredIncomeTaxLiabilitiesNet,1063000000,1077000000
OperatingLeaseLiabilityNoncurrent,1598000000,1428000000
ProgramRightsObligationsNoncurrent,404000000,367000000
OtherLiabilitiesNoncurrent,1898000000,1715000000
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,213000000,200000000
TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,107000000,0
CommitmentsAndContingencies,0.0,0.0
PreferredStockValue,0,0
CommonStockValue,,
AdditionalPaidInCapitalCommonStock,32918000000,33063000000
TreasuryStockCommonValue,22958000000,22958000000
RetainedEarningsAccumulatedDeficit,14343000000,14737000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1902000000,-1807000000
StockholdersEquity,22402000000,23036000000
MinorityInterest,568000000,570000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,22970000000,23606000000
LiabilitiesAndStockholdersEquity,58620000000,58393000000
