,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,5197000000,7776000000
ShortTermInvestments,4303000000,3092000000
AccountsReceivableNetCurrent,800000000,963000000
NotesAndLoansReceivableNetCurrent,4846000000,7431000000
FundsReceivableAndCustomerAccounts,36141000000,36357000000
PrepaidExpenseAndOtherAssetsCurrent,1287000000,1898000000
AssetsCurrent,52574000000,57517000000
LongTermInvestments,6797000000,5018000000
PropertyPlantAndEquipmentNet,1909000000,1730000000
Goodwill,11454000000,11209000000
FiniteLivedIntangibleAssetsNet,1332000000,788000000
OtherAssetsNoncurrent,1737000000,2455000000
Assets,75803000000,78717000000
AccountsPayableCurrent,197000000,126000000
FundsPayableAndAmountsDueToCustomers,38841000000,40107000000
AccruedLiabilitiesCurrent,3755000000,4055000000
TaxesPayableCurrent,236000000,813000000
LiabilitiesCurrent,43029000000,45101000000
DeferredTaxAndOtherLiabilitiesNoncurrent,2998000000,2925000000
LongTermDebtNoncurrent,8049000000,10417000000
Liabilities,54076000000,58443000000
CommitmentsAndContingencies,0.0,0.0
CommonStockValue,0,0
PreferredStockValue,0,0
TreasuryStockCommonValue,11880000000,16079000000
AdditionalPaidInCapital,17208000000,18327000000
RetainedEarningsAccumulatedDeficit,16535000000,18954000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-136000000,-928000000
StockholdersEquity,21727000000,20274000000
LiabilitiesAndStockholdersEquity,75803000000,78717000000
