,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,1944000000,416000000
OtherShortTermInvestments,29125000000,22316000000
AccountsReceivableNetCurrent,11479000000,10952000000
InventoryNet,9059000000,8981000000
OtherTaxAssetsCurrent,4266000000,3577000000
OtherAssetsCurrent,3820000000,5017000000
AssetsCurrent,59693000000,51259000000
EquityMethodInvestments,16472000000,11033000000
OtherLongTermInvestments,5054000000,4036000000
PropertyPlantAndEquipmentNet,14882000000,16274000000
IntangibleAssetsNetExcludingGoodwill,25146000000,43370000000
Goodwill,49208000000,51375000000
DeferredTaxAssetsNetAndOtherTaxAssetsNoncurrent,3341000000,6693000000
OtherAssetsNoncurrent,7679000000,13163000000
Assets,181476000000,197205000000
DebtCurrent,2241000000,2945000000
AccountsPayableCurrent,5578000000,6809000000
DividendsPayableCurrent,2249000000,2303000000
TaxesPayableCurrent,1266000000,1587000000
EmployeeRelatedLiabilitiesCurrent,3332000000,3407000000
ContractWithCustomerLiabilityCurrent,3067000000,2520000000
OtherLiabilitiesCurrent,24939000000,22568000000
LiabilitiesCurrent,42671000000,42138000000
LongTermDebtNoncurrent,36195000000,32884000000
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,3724000000,2250000000
DeferredIncomeTaxLiabilitiesNet,349000000,1023000000
LiabilityForUncertainTaxPositionsNoncurrent,11331000000,9812000000
OtherLiabilitiesNoncurrent,9743000000,13180000000
Liabilities,104013000000,101288000000
CommitmentsAndContingencies,0.0,0.0
PreferredStockValue,0,0
CommonStockValue,473000000,476000000
AdditionalPaidInCapital,90591000000,91802000000
TreasuryStockValue,111361000000,113969000000
RetainedEarningsAccumulatedDeficit,103394000000,125656000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-5897000000,-8304000000
StockholdersEquity,77201000000,95661000000
MinorityInterest,262000000,256000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,77462000000,95916000000
LiabilitiesAndStockholdersEquity,181476000000,197205000000
