,2021-06-30,2022-06-30
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,10288000000,7214000000
AccountsReceivableNetCurrent,4725000000,5143000000
InventoryRawMaterialsAndSuppliesNetOfReserves,1645000000,2168000000
InventoryWorkInProcessNetOfReserves,719000000,856000000
InventoryFinishedGoodsNetOfReserves,3619000000,3900000000
InventoryNet,5983000000,6924000000
PrepaidExpenseAndOtherAssetsCurrent,2095000000,2372000000
AssetsCurrent,23091000000,21653000000
PropertyPlantAndEquipmentNet,21686000000,21195000000
Goodwill,40924000000,39700000000
IntangibleAssetsNetExcludingGoodwill,23642000000,23679000000
OtherAssetsNoncurrent,9964000000,10981000000
Assets,119307000000,117208000000
AccountsPayableCurrent,13720000000,14882000000
AccruedLiabilitiesCurrent,10523000000,9554000000
DebtCurrent,8889000000,8645000000
LiabilitiesCurrent,33132000000,33081000000
LongTermDebtNoncurrent,23099000000,22848000000
DeferredIncomeTaxLiabilitiesNet,6153000000,6809000000
OtherLiabilitiesNoncurrent,10269000000,7616000000
Liabilities,72653000000,70354000000
PreferredStockValue,,
CommonStockValue,4009000000,4009000000
AdditionalPaidInCapital,64848000000,65795000000
ReserveForEsopDebtRetirement,1006000000,916000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-13744000000,-12189000000
TreasuryStockValue,114973000000,123382000000
RetainedEarningsAccumulatedDeficit,106374000000,112429000000
MinorityInterest,276000000,265000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,46654000000,46854000000
LiabilitiesAndStockholdersEquity,119307000000,117208000000
PreferredStockParOrStatedValuePerShare,,
PreferredStockSharesAuthorized,,
CommonStockSharesIssued,4009200000,4009200000
CommonStockParOrStatedValuePerShare,1,1
CommonStockSharesAuthorized,10000000000,10000000000
TreasuryStockShares,1579500000,1615400000
