,2021-09-26,2022-09-25
CashAndCashEquivalentsAtCarryingValue,7116000000,2773000000
MarketableSecuritiesCurrent,5298000000,3609000000
AccountsAndOtherReceivablesNetCurrent,3579000000,5643000000
InventoryNet,3228000000,6341000000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,0,733000000
OtherAssetsCurrent,854000000,1625000000
AssetsCurrent,20075000000,20724000000
DeferredIncomeTaxAssetsNet,1591000000,1803000000
PropertyPlantAndEquipmentNet,4559000000,5168000000
Goodwill,7246000000,10508000000
IntangibleAssetsNetExcludingGoodwill,1458000000,1882000000
DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent,0,1200000000
OtherAssetsNoncurrent,6311000000,7729000000
Assets,41240000000,49014000000
AccountsPayableCurrent,2750000000,3796000000
EmployeeRelatedLiabilitiesCurrent,1531000000,1486000000
DeferredRevenueCurrent,612000000,369000000
DebtCurrent,2044000000,1945000000
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,0,581000000
OtherLiabilitiesCurrent,5014000000,3689000000
LiabilitiesCurrent,11951000000,11866000000
DeferredRevenueNoncurrent,364000000,144000000
AccruedIncomeTaxesNoncurrent,1713000000,1472000000
LongTermDebt,13701000000,13537000000
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,0,119000000
OtherLiabilities,3561000000,3863000000
Liabilities,31290000000,31001000000
CommitmentsAndContingencies,0.0,0.0
PreferredStockValue,0,0
PreferredStockParOrStatedValuePerShare,0.0001,0.0001
PreferredStockSharesAuthorized,8000000,8000000
PreferredStockSharesOutstanding,0,0
CommonStocksIncludingAdditionalPaidInCapital,0,195000000
CommonStockParOrStatedValuePerShare,0.0001,0.0001
CommonStockSharesAuthorized,6000000000,6000000000
CommonStockSharesIssued,1125000000,1121000000
RetainedEarningsAccumulatedDeficit,9822000000,17840000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,128000000,-22000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,9950000000,18013000000
LiabilitiesAndStockholdersEquity,41240000000,49014000000
