,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,105301000,95346000
AccountsReceivableNetCurrent,139579000,155759000
NotesAndLoansReceivableNetCurrent,26152000,33618000
InventoryNet,28926000,29745000
OtherAssetsCurrent,52422000,34151000
AssetsCurrent,352380000,348619000
PropertyPlantAndEquipmentNet,133257000,128046000
Goodwill,786504000,846704000
IntangibleAssetsNetExcludingGoodwill,,
OperatingLeaseRightOfUseAsset,244784000,277355000
NotesAndLoansReceivableNetNoncurrent,47097000,63523000
OtherAssetsNoncurrent,34949000,39033000
Assets,2021540000,2122028000
AccountsPayableCurrent,44568000,42796000
AccruedInsuranceCurrent,36414000,39534000
EmployeeRelatedLiabilitiesCurrent,97862000,99251000
ContractWithCustomerLiabilityCurrent,145122000,158092000
OperatingLeaseLiabilityCurrent,75240000,84543000
LinesOfCreditCurrent,18750000,15000000
OtherLiabilitiesCurrent,73206000,54568000
LiabilitiesCurrent,491162000,493784000
AccruedInsuranceNoncurrent,31545000,38350000
OperatingLeaseLiabilityNoncurrent,172520000,196888000
LongTermLineOfCredit,136250000,39898000
OtherAccruedLiabilitiesNoncurrent,78846000,85911000
Liabilities,910323000,854831000
CommitmentsAndContingencies,0.0,0.0
PreferredStockValue,0.0,0.0
CommonStockValue,491911000,492448000
AdditionalPaidInCapital,105629000,119242000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-16411000,-31562000
RetainedEarningsAccumulatedDeficit,530088000,687069000
StockholdersEquity,1111217000,1267197000
LiabilitiesAndStockholdersEquity,2021540000,2122028000
