,2021-12-31,2022-12-31
PreferredStockValue,0,0
CashAndCashEquivalentsAtCarryingValue,17576000000,16253000000
AccountsPayableCurrent,10025000000,15255000000
MinorityInterest,826000000,785000000
LongTermDebtAndFinanceLeasesNoncurrent,5245000000,1597000000
CommonStockValue,3000000,3000000
DeferredCostsLeasingNetNoncurrent,,
ShortTermInvestments,131000000,5932000000
AccruedAndOtherCurrentLiabilities,5719000000,7142000000
CommitmentsAndContingencies,0.0,0.0
ContractWithCustomerLiabilityNoncurrent,2052000000,2804000000
AdditionalPaidInCapitalCommonStock,29803000000,32177000000
LeasedAssetsNet,,
AccountsReceivableNetCurrent,1913000000,2952000000
ContractWithCustomerLiabilityCurrent,1447000000,1747000000
RedeemableNoncontrollingInterestEquityCarryingAmount,568000000,409000000
OtherLiabilitiesNoncurrent,3546000000,5330000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,54000000,-361000000
PropertyPlantAndEquipmentNet,18884000000,23548000000
InventoryNet,5757000000,12839000000
CustomerDepositsLiabilitiesCurrent,925000000,1063000000
Liabilities,30548000000,36440000000
RetainedEarningsAccumulatedDeficit,329000000,12885000000
OperatingLeaseRightOfUseAsset,2016000000,2563000000
PrepaidExpenseAndOtherAssetsCurrent,1723000000,2941000000
LongTermDebtAndFinanceLeasesCurrent,1589000000,1502000000
LiabilitiesAndStockholdersEquity,62131000000,82338000000
StockholdersEquity,30189000000,44704000000
DigitalAssetsNetNonCurrent,1260000000,184000000
AssetsCurrent,27100000000,40917000000
LiabilitiesCurrent,19705000000,26709000000
IntangibleAssetsNetExcludingGoodwill,257000000,215000000
Goodwill,200000000,194000000
OtherAssetsNoncurrent,2138000000,4193000000
Assets,62131000000,82338000000
