,2021-01-31,2022-01-31
CashAndCashEquivalentsAtCarryingValue,17741000000,14760000000
ReceivablesNetCurrent,6516000000,8280000000
InventoryNet,44949000000,56511000000
PrepaidExpenseAndOtherAssetsCurrent,20861000000,1519000000
AssetsCurrent,90067000000,81070000000
PropertyPlantAndEquipmentNet,92201000000,94515000000
OperatingLeaseRightOfUseAsset,13642000000,13758000000
FinanceLeaseRightOfUseAsset,4005000000,4351000000
Goodwill,28983000000,29014000000
OtherAssetsNoncurrent,23598000000,22152000000
Assets,252496000000,244860000000
ShortTermBorrowings,224000000,410000000
AccountsPayableCurrent,49141000000,55261000000
AccruedLiabilitiesCurrent,37966000000,26060000000
AccruedIncomeTaxesCurrent,242000000,851000000
LongTermDebtCurrent,3115000000,2803000000
OperatingLeaseLiabilityCurrent,1466000000,1483000000
FinanceLeaseLiabilityCurrent,491000000,511000000
LiabilitiesCurrent,92645000000,87379000000
LongTermDebtNoncurrent,41194000000,34864000000
OperatingLeaseLiabilityNoncurrent,12909000000,13009000000
FinanceLeaseLiabilityNoncurrent,3847000000,4243000000
DeferredIncomeTaxesAndOtherLiabilitiesNoncurrent,14370000000,13474000000
CommitmentsAndContingencies,0.0,0.0
CommonStockValue,282000000,276000000
AdditionalPaidInCapital,3646000000,4839000000
RetainedEarningsAccumulatedDeficit,88763000000,86904000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-11766000000,-8766000000
StockholdersEquity,80925000000,83253000000
MinorityInterest,6606000000,8638000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,87531000000,91891000000
LiabilitiesAndStockholdersEquity,252496000000,244860000000
