,2021-01-01-2021-12-31,2022-01-01-2022-12-31
Revenues,35355000000,34229000000
CostOfRevenue,18795000000,19232000000
SellingGeneralAndAdministrativeExpense,7197000000,9049000000
ResearchDevelopmentAndRelatedExpenses,1994000000,1862000000
GainLossOnSaleOfBusiness,0,2724000000
GoodwillImpairmentLoss,0,271000000
CostsAndExpenses,27986000000,27690000000
OperatingIncomeLoss,7369000000,6539000000
NonoperatingIncomeExpense,-165000000,-147000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,7204000000,6392000000
IncomeTaxExpenseBenefit,1285000000,612000000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,5919000000,5780000000
IncomeLossFromEquityMethodInvestments,10000000,11000000
ProfitLoss,5929000000,5791000000
NetIncomeLossAttributableToNoncontrollingInterest,8000000,14000000
NetIncomeLoss,5921000000,5777000000
WeightedAverageNumberOfSharesOutstandingBasic,579000000.0,566000000.0
EarningsPerShareBasic,10.23,10.21
WeightedAverageNumberOfDilutedSharesOutstanding,585300000,567600000
EarningsPerShareDiluted,10.12,10.18
