,2020-11-28-2021-12-03,2021-12-04-2022-12-02
SubscriptionRevenues,14573000000,16388000000
ProductRevenue,555000000,532000000
ServicesAndOtherRevenue,657000000,686000000
Revenues,15785000000,17606000000
CostofSubscriptionRevenue,1374000000,1646000000
CostofProductRevenue,41000000,35000000
CostOfServicesAndOtherRevenue,450000000,484000000
CostOfRevenue,1865000000,2165000000
GrossProfit,13920000000,15441000000
ResearchAndDevelopmentExpenseSoftwareExcludingAcquiredInProcessCost,2540000000,2987000000
SellingAndMarketingExpense,4321000000,4968000000
GeneralAndAdministrativeExpense,1085000000,1219000000
OperatingExpensesAmortizationOfPurchasedIntangibles,172000000,169000000
OperatingExpenses,8118000000,9343000000
OperatingIncomeLoss,5802000000,6098000000
InterestExpense,113000000,112000000
GainLossOnInvestments,16000000,-19000000
OtherNonoperatingIncome,0,41000000
NonoperatingIncomeExpense,-97000000,-90000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,5705000000,6008000000
IncomeTaxExpenseBenefit,883000000,1252000000
NetIncomeLoss,4822000000,4756000000
EarningsPerShareBasic,10.10,10.13
WeightedAverageNumberOfSharesOutstandingBasic,477000000,470000000
EarningsPerShareDiluted,10.02,10.10
WeightedAverageNumberOfDilutedSharesOutstanding,481000000,471000000
