,2021-01-01-2021-12-31,2022-01-01-2022-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,5992000000,8399000000
CostOfRevenue,1156000000,1499000000
OperationsAndSupportExpense,847000000,1041000000
ResearchAndDevelopmentExpense,1425000000,1502000000
SellingAndMarketingExpense,1186000000,1516000000
GeneralAndAdministrativeExpense,836000000,950000000
RestructuringCharges,113000000,89000000
CostsAndExpenses,5563000000,6597000000
OperatingIncomeLoss,429000000,1802000000
InvestmentIncomeNonoperating,13000000,186000000
InterestIncomeExpenseNonoperatingNet,-438000000,-24000000
OtherNonoperatingIncomeExpense,-304000000,25000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-300000000,1989000000
IncomeTaxExpenseBenefit,52000000,96000000
NetIncomeLoss,-352000000,1893000000
IncomeLossFromContinuingOperationsPerBasicShare,-0.57,2.97
IncomeLossFromContinuingOperationsPerDilutedShare,-0.57,2.79
WeightedAverageNumberOfSharesOutstandingBasic,616000000,637000000
WeightedAverageNumberOfDilutedSharesOutstanding,616000000,680000000
