,2021-01-01-2021-12-31,2022-01-01-2022-12-31
Revenues,62286000000,66608000000
CostOfGoodsAndServicesSold,,
FinancingInterestExpense,32000000,28000000
CostOfRevenue,59269000000,63106000000
GrossProfit,3017000000,3502000000
IncomeLossfromInvestments,210000000,-16000000
GeneralAndAdministrativeExpense,4157000000,4187000000
ResearchAndDevelopmentExpense,2249000000,2852000000
GainLossOnDispositionOfAssets,277000000,6000000
OperatingIncomeLoss,-2902000000,-3547000000
OtherNonoperatingIncomeExpense,551000000,1058000000
InterestAndDebtExpense,2682000000,2533000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-5033000000,-5022000000
IncomeTaxExpenseBenefit,-743000000,31000000
ProfitLoss,-4290000000,-5053000000
NetIncomeLossAttributableToNoncontrollingInterest,-88000000,-118000000
NetIncomeLoss,-4202000000,-4935000000
EarningsPerShareBasic,-7.15,-8.30
EarningsPerShareDiluted,-7.15,-8.30
