,2021-01-01-2021-12-31,2022-01-01-2022-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,469822000000,513983000000
CostOfGoodsAndServicesSold,272344000000,288831000000
FulfillmentExpense,75111000000,84299000000
TechnologyAndContentExpense,56052000000,73213000000
MarketingExpense,32551000000,42238000000
GeneralAndAdministrativeExpense,8823000000,11891000000
OtherOperatingIncomeExpenseNet,-62000000,-1263000000
CostsAndExpenses,444943000000,501735000000
OperatingIncomeLoss,24879000000,12248000000
InvestmentIncomeInterest,448000000,989000000
InterestExpense,1809000000,2367000000
OtherNonoperatingIncomeExpense,14633000000,-16806000000
NonoperatingIncomeExpense,13272000000,-18184000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,38151000000,-5936000000
IncomeTaxExpenseBenefit,4791000000,-3217000000
IncomeLossFromEquityMethodInvestments,4000000,-3000000
NetIncomeLoss,33364000000,-2722000000
EarningsPerShareBasic,3.30,-0.27
EarningsPerShareDiluted,3.24,-0.27
WeightedAverageNumberOfSharesOutstandingBasic,10117000000,10189000000
WeightedAverageNumberOfDilutedSharesOutstanding,10296000000,10189000000
