,2021-01-01-2021-12-31,2022-01-01-2022-12-31
Revenues,10958000000,17090000000
MarketingExpense,3801000000,5993000000
Salesandotherexpenses,881000000,1818000000
LaborAndRelatedExpense,2314000000,2465000000
GeneralAndAdministrativeExpense,620000000,934000000
CommunicationsAndInformationTechnology,412000000,526000000
DepreciationAndAmortization,421000000,451000000
RestructuringDisposalAndOtherExitActivities,13000000,-199000000
GoodwillImpairmentLoss,0,0
OperatingExpenses,8462000000,11988000000
OperatingIncomeLoss,2496000000,5102000000
InterestExpense,334000000,391000000
OtherNonoperatingIncomeExpense,-697000000,-788000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1465000000,3923000000
IncomeTaxExpenseBenefit,300000000,865000000
NetIncomeLossAvailableToCommonStockholdersBasic,1165000000,3058000000
EarningsPerShareBasic,28.39,76.70
WeightedAverageNumberOfSharesOutstandingBasic,41042000,39872000
EarningsPerShareDiluted,28.17,76.35
WeightedAverageNumberOfDilutedSharesOutstanding,41362000,40052000
