,2021-01-01-2021-12-31,2022-01-01-2022-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,20613000000,20421000000
CostOfGoodsAndServicesSold,,
ResearchAndDevelopmentExpense,503000000,539000000
SellingGeneralAndAdministrativeExpense,3120000000,2512000000
CostsAndExpenses,18256000000,18008000000
IncomeLossFromEquityMethodInvestments,249000000,262000000
OtherOperatingIncomeExpenseNet,39000000,1840000000
OperatingIncomeLoss,2645000000,4515000000
NetPeriodicDefinedBenefitsExpenseReversalOfExpenseExcludingServiceCostComponent,-61000000,4000000
InterestIncomeExpenseNonoperatingNet,-306000000,-219000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2400000000,4292000000
IncomeTaxExpenseBenefit,699000000,708000000
ProfitLoss,1701000000,3584000000
NetIncomeLossAttributableToNoncontrollingInterest,37000000,50000000
NetIncomeLossAvailableToCommonStockholdersBasic,1664000000,3534000000
EarningsPerShareBasic,1.92,4.19
EarningsPerShareDiluted,1.87,4.10
WeightedAverageNumberOfSharesOutstandingBasic,867700000,843400000
WeightedAverageNumberOfDilutedSharesOutstanding,890300000,861200000
