,2021-01-01-2021-12-31,2022-01-01-2022-12-31
Revenues,38655000000,43004000000
CostOfGoodsAndServicesSold,15357000000,18000000000
GrossProfit,23298000000,25004000000
SellingGeneralAndAdministrativeExpense,12144000000,12880000000
OtherCostAndExpenseOperating,846000000,1215000000
OperatingIncomeLoss,10308000000,10909000000
InvestmentIncomeInterest,276000000,449000000
InterestExpense,1597000000,882000000
IncomeLossFromEquityMethodInvestments,1438000000,1472000000
OtherNonoperatingIncomeExpense,2000000000,-262000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,12425000000,11686000000
IncomeTaxExpenseBenefit,2621000000,2115000000
ProfitLoss,9804000000,9571000000
NetIncomeLossAttributableToNoncontrollingInterest,33000000,29000000
NetIncomeLoss,9771000000,9542000000
EarningsPerShareBasic,2.26,2.20
EarningsPerShareDiluted,2.25,2.19
WeightedAverageNumberOfSharesOutstandingBasic,4315000000,4328000000
WeightedAverageNumberDilutedSharesOutstandingAdjustment,25000000,22000000
WeightedAverageNumberOfDilutedSharesOutstanding,4340000000,4350000000
