,2020-08-31-2021-08-29,2021-08-30-2022-08-28
RevenueFromContractWithCustomerExcludingAssessedTax,195929000000,226954000000
CostOfGoodsAndServicesSold,170684000000,199382000000
SellingGeneralAndAdministrativeExpense,18537000000,19779000000
OperatingIncomeLoss,6708000000,7793000000
InterestExpense,171000000,158000000
InterestAndOtherIncome,143000000,205000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,6680000000,7840000000
IncomeTaxExpenseBenefit,1601000000,1925000000
ProfitLoss,5079000000,5915000000
NetIncomeLossAttributableToNoncontrollingInterest,72000000,71000000
NetIncomeLoss,5007000000,5844000000
EarningsPerShareBasic,11.30,13.17
EarningsPerShareDiluted,11.27,13.14
WeightedAverageNumberOfSharesOutstandingBasic,443089000,443651000
WeightedAverageNumberOfDilutedSharesOutstanding,444346000,444757000
