,2021-01-01-2021-12-31,2022-01-01-2022-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,10420000000,9795000000
CostOfRevenue,2650000000,2680000000
GrossProfit,7770000000,7115000000
SellingAndMarketingExpense,2170000000,2136000000
ResearchAndDevelopmentExpense,1325000000,1330000000
GeneralAndAdministrativeExpense,921000000,963000000
ProvisionForTransactionLosses,422000000,332000000
AmortizationofAcquiredIntangibleAssets1,9000000,4000000
OperatingExpenses,4847000000,4765000000
OperatingIncomeLoss,2923000000,2350000000
GainLossOnEquityInvestmentsAndWarrant,-2365000000,-3786000000
InterestAndOtherNet,-160000000,-165000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,398000000,-1601000000
IncomeTaxExpenseBenefit,146000000,-327000000
IncomeLossFromContinuingOperations,252000000,-1274000000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,13356000000,5000000
NetIncomeLoss,13608000000,-1269000000
IncomeLossFromContinuingOperationsPerBasicShare,0.39,-2.28
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare,20.48,0.01
EarningsPerShareBasic,20.87,-2.27
IncomeLossFromContinuingOperationsPerDilutedShare,0.38,-2.28
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,20.16,0.01
EarningsPerShareDiluted,20.54,-2.27
WeightedAverageNumberOfSharesOutstandingBasic,652000000,558000000
WeightedAverageNumberOfDilutedSharesOutstanding,663000000,558000000
