,2020-06-01-2021-05-31,2021-06-01-2022-05-31
RevenueFromContractWithCustomerExcludingAssessedTax,83959000000,93512000000
LaborAndRelatedExpense,30173000000,32058000000
InterestExpense,793000000,689000000
PurchasedTransportationCosts,21674000000,24118000000
InvestmentIncomeInterest,52000000,53000000
RentalsAndLandingFees,4155000000,4712000000
OperatingIncomeLoss,5857000000,6245000000
NetPeriodicDefinedBenefitsExpenseReversalOfExpenseExcludingServiceCostComponent,-1983000000,726000000
DepreciationDepletionAndAmortization,3793000000,3970000000
GainsLossesOnExtinguishmentOfDebt,-393000000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,6674000000,4896000000
FuelCosts,2882000000,5115000000
OtherNonoperatingIncomeExpense,-32000000,13000000
IncomeTaxExpenseBenefit,1443000000,1070000000
CostOfPropertyRepairsAndMaintenance,3328000000,3372000000
NonoperatingIncomeExpense,817000000,-1349000000
NetIncomeLoss,5231000000,3826000000
BusinessRealignmentCosts,116000000,278000000
EarningsPerShareBasic,19.79,14.54
AssetImpairmentCharges,,
EarningsPerShareDiluted,19.45,14.33
OtherCostAndExpenseOperating,11981000000,13644000000
CostsAndExpenses,78102000000,87267000000
