,2021-01-01-2021-12-31,2022-01-01-2022-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,136341000000,158057000000
CostOfGoodsAndServicesSold,114651000000,134397000000
SellingGeneralAndAdministrativeExpense,11915000000,10888000000
OtherCostAndExpenseOperating,,
CostsAndExpenses,131818000000,151781000000
OperatingIncomeLoss,4523000000,6276000000
InterestExpenseOther,1803000000,1259000000
NonoperatingIncomeExpense,14733000000,-5150000000
IncomeLossFromEquityMethodInvestments,327000000,-2883000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,17780000000,-3016000000
IncomeTaxExpenseBenefit,-130000000,-864000000
ProfitLoss,17910000000,-2152000000
NetIncomeLossAttributableToNoncontrollingInterest,-27000000,-171000000
NetIncomeLossAvailableToCommonStockholdersBasic,17937000000,-1981000000
EarningsPerShareBasic,4.49,-0.49
EarningsPerShareDiluted,4.45,-0.49
WeightedAverageNumberOfSharesOutstandingBasic,3991000000,4014000000
WeightedAverageNumberOfDilutedSharesOutstanding,4034000000,4014000000
