,2021-01-01-2021-12-31,2022-01-01-2022-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,113590000000,143975000000
RevenueNotFromContractWithCustomer,13414000000,12760000000
Revenues,127004000000,156735000000
CostOfGoodsAndServicesSold,,
OperatingCostsAndExpenses,,
SellingGeneralAndAdministrativeExpense,,
OperatingExpenses,117680000000,146421000000
OperatingIncomeLoss,9324000000,10315000000
InterestExpense,,
NonoperatingIncomeExpense,3041000000,1432000000
IncomeLossFromEquityMethodInvestments,1301000000,837000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,12716000000,11597000000
IncomeTaxExpenseBenefit,2771000000,1888000000
ProfitLoss,9945000000,9708000000
NetIncomeLossAttributableToNoncontrollingInterest,-74000000,-226000000
NetIncomeLoss,10019000000,9934000000
NetIncomeLossAvailableToCommonStockholdersBasic,9837000000,8915000000
EarningsPerShareBasic,6.78,6.17
WeightedAverageNumberOfSharesOutstandingBasic,1451000000,1445000000
EarningsPerShareDiluted,6.70,6.13
WeightedAverageNumberOfDilutedSharesOutstanding,1468000000,1454000000
