,2020-11-01-2021-10-31,2021-11-01-2022-10-31
RevenueFromContractWithCustomerExcludingAssessedTax,,
InterestIncomeOperating,494000000,483000000
Revenues,27784000000,28496000000
CostOfGoodsAndServicesSold,,
FinancingInterestExpensesIncludingDivestitures,212000000,310000000
ResearchAndDevelopmentExpense,1979000000,2045000000
SellingGeneralAndAdministrativeExpense,4929000000,4941000000
AmortizationOfIntangibleAssets,354000000,293000000
GoodwillAndIntangibleAssetImpairment,0,905000000
TransformationCosts,930000000,473000000
GainLossFromCatastrophe,-16000000,-48000000
BusinessCombinationAcquisitionRelatedCosts,36000000,19000000
CostsAndExpenses,26652000000,27714000000
OperatingIncomeLoss,1132000000,782000000
InterestAndDebtExpense,211000000,188000000
TaxIndemnificationAdjustments,-65000000,67000000
NetPeriodicDefinedBenefitsExpenseReversalOfExpenseExcludingServiceCostComponent,-70000000,-134000000
GainLossRelatedToLitigationSettlement,2351000000,0
IncomeLossFromEquityMethodInvestments,180000000,215000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,3587000000,876000000
IncomeTaxExpenseBenefit,160000000,8000000
NetIncomeLoss,3427000000,868000000
EarningsPerShareBasic,2.62,0.67
EarningsPerShareDiluted,2.58,0.66
WeightedAverageNumberOfSharesOutstandingBasic,1309000000,1303000000
WeightedAverageNumberOfDilutedSharesOutstanding,1330000000,1322000000
