,2021-01-01-2021-12-31,2022-01-01-2022-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,5788000000,8773000000
OwnedAndLeasedHotelExpenses,679000000,999000000
DepreciationAndAmortization,188000000,162000000
GeneralAndAdministrativeExpense,405000000,382000000
RestructuringCharges,0,0
AssetImpairmentCharges,0,0
OtherExpenses,45000000,60000000
CostsAndExpensesExcludingCostOfReimbursableExpense,1317000000,1603000000
OtherExpensesFromManagedAndFranchisedProperties,3454000000,5076000000
CostsAndExpenses,4771000000,6679000000
GainLossOnDispositionOfAssets1,-7000000,0
OperatingIncomeLoss,1010000000,2094000000
InterestExpense,397000000,415000000
ForeignCurrencyTransactionGainLossBeforeTax,-7000000,5000000
LossOnDebtExtinguishments,69000000,0
OtherNonoperatingIncomeExpense,23000000,50000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,560000000,1734000000
IncomeTaxExpenseBenefit,153000000,477000000
ProfitLoss,407000000,1257000000
NetIncomeLossAttributableToNoncontrollingInterest,-3000000,2000000
NetIncomeLoss,410000000,1255000000
EarningsPerShareBasic,1.47,4.56
EarningsPerShareDiluted,1.46,4.53
CommonStockDividendsPerShareDeclared,0,0.45
