,2021-01-01-2021-12-31,2022-01-01-2022-12-31
Revenues,57350000000,60530000000
CostOfRevenue,25865000000,27842000000
GrossProfit,31486000000,32687000000
SellingGeneralAndAdministrativeExpense,18745000000,18609000000
ResearchAndDevelopmentExpense,6488000000,6567000000
IntellectualPropertyAndCustomDevelopmentIncome,612000000,663000000
OtherIncomeAndExpense,873000000,5803000000
InterestExpense,1155000000,1216000000
ExpenseAndOtherIncome,26649000000,31531000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,4837000000,1156000000
IncomeTaxExpenseBenefit,124000000,-626000000
IncomeLossFromContinuingOperations,4712000000,1783000000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,1030000000,-143000000
NetIncomeLoss,5743000000,1639000000
IncomeLossFromContinuingOperationsPerDilutedShare,5.21,1.95
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,1.14,-0.16
EarningsPerShareDiluted,6.35,1.80
IncomeLossFromContinuingOperationsPerBasicShare,5.26,1.97
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,1.15,-0.16
EarningsPerShareBasic,6.41,1.82
WeightedAverageNumberOfDilutedSharesOutstanding,904641001,912269062
WeightedAverageNumberOfSharesOutstandingBasic,895990771,902664190
