,2020-12-27-2021-12-25,2021-12-26-2022-12-31
RevenueFromContractWithCustomerIncludingAssessedTax,26042000000,26485000000
CostOfGoodsAndServicesSold,17360000000,18363000000
GrossProfit,8682000000,8122000000
SellingGeneralandAdministrativeExpenseExcludingImpairmentLosses,3588000000,3575000000
GoodwillImpairmentLoss,318000000,444000000
ImpairmentOfIntangibleAssetsExcludingGoodwill,1316000000,469000000
SellingGeneralAndAdministrativeExpense,5222000000,4488000000
OperatingIncomeLoss,3460000000,3634000000
InterestExpense,2047000000,921000000
OtherNonoperatingIncomeExpense,295000000,253000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1708000000,2966000000
IncomeTaxExpenseBenefit,684000000,598000000
ProfitLoss,1024000000,2368000000
NetIncomeLossAttributableToNoncontrollingInterest,12000000,5000000
NetIncomeLoss,1012000000,2363000000
EarningsPerShareBasic,0.83,1.93
EarningsPerShareDiluted,0.82,1.91
