,2020-02-01-2021-01-29,2021-01-30-2022-01-28
RevenueFromContractWithCustomerExcludingAssessedTax,89597000000,96250000000
CostOfGoodsAndServicesSold,60025000000,64194000000
GrossProfit,29572000000,32056000000
SellingGeneralAndAdministrativeExpense,18526000000,18301000000
DepreciationAndAmortization,1399000000,1662000000
OperatingIncomeLoss,9647000000,12093000000
InterestRevenueExpenseNet,-848000000,-885000000
GainsLossesOnExtinguishmentOfDebt,-1060000000,0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,7739000000,11208000000
IncomeTaxExpenseBenefit,1904000000,2766000000
ProfitLoss,5835000000,8442000000
EarningsPerShareBasic,7.77,12.07
EarningsPerShareDiluted,7.75,12.04
RevenueFromContractWithCustomerExcludingAssessedTaxPercentage,1.0000,1.0000
CostOfGoodsAndServicesSoldPercent,0.6699,0.6670
GrossProfitPercent,0.3301,0.3330
SellingGeneralAndAdministrativeExpensePercent,0.2068,0.1901
DepreciationAndAmortizationPercent,0.0156,0.0173
OperatingIncomeLossPercent,0.1077,0.1256
InterestExpensePercent,0.0095,0.0092
GainLossOnExtinguishmentOfDebtPercent,0.0118,0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterestPercent,0.0864,0.1164
IncomeTaxExpenseBenefitPercent,0.0213,0.0287
NetIncomeLossAttributableToParentPercent,0.0651,0.0877
