,2021-01-01-2021-12-31,2022-01-01-2022-12-31
SalesbyCompanyoperatedrestaurants,9787400000,8748400000
Revenuesfromfranchisedrestaurants,13085400000,14105800000
OtherRevenues,350100000,328400000
Revenues,23222900000,23182600000
FoodAndPaperCosts,3096800000,2737300000
PayrollAndEmployeeBenefits,2677200000,2617400000
OccupancyAndOtherOperatingExpenses,2273300000,2026200000
Franchisedrestaurantsoccupancyexpenses,2335000000,2349700000
OtherExpenses,260400000,244800000
DepreciationDepletionAndAmortization,329700000,370400000
OtherSellingGeneralAndAdministrativeExpense,2377800000,2492200000
OtherOperatingIncomeExpenseNet,483300000,-973600000
CostsAndExpenses,12866900000,13811600000
OperatingIncomeLoss,10356000000,9371000000
InterestExpense,1185800000,1207000000
NonoperatingIncomeExpense,-42300000,-338600000
IncomeLossFromContinuingOperationsBeforeIncomeTaxes,9127900000,7825400000
IncomeTaxExpenseBenefit,1582700000,1648000000
NetIncomeLoss,7545200000,6177400000
EarningsPerShareBasic,10.11,8.39
EarningsPerShareDiluted,10.04,8.33
CommonStockDividendsPerShareDeclared,5.25,5.66
WeightedAverageNumberOfSharesOutstandingBasic,746300000,736500000
WeightedAverageNumberOfDilutedSharesOutstanding,751800000,741300000
