,2021-01-01-2021-12-31,2022-01-01-2022-12-31
RevenuesGrossofCapitalizedContractCostAmortization,,
CapitalizedContractCostAmortization,,
Revenues,13857000000,20773000000
CostOfRevenue,,
DepreciationAmortizationandOtherExcludingCapitalizedContractCostAmortization,220000000,193000000
GeneralAndAdministrativeExpense,823000000,891000000
RestructuringChargesAndBusinessCombinationAcquisitionAndIntegrationRelatedCostsAndOther,8000000,12000000
CostsAndExpenses,12107000000,17311000000
OperatingIncomeLoss,1750000000,3462000000
OtherNonoperatingIncomeExpense,10000000,11000000
GainsLossesOnExtinguishmentOfDebt,-164000000,0
InterestExpense,420000000,403000000
InvestmentIncomeInterest,28000000,26000000
IncomeLossFromEquityMethodInvestments,-24000000,18000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1180000000,3114000000
IncomeTaxExpenseBenefit,81000000,756000000
NetIncomeLoss,1099000000,2358000000
EarningsPerShareBasic,3.36,7.27
EarningsPerShareDiluted,3.34,7.24
