,2020-07-01-2021-06-30,2021-07-01-2022-06-30
WeightedAverageNumberOfDilutedSharesOutstanding,7608000000,7540000000
WeightedAverageNumberOfSharesOutstandingBasic,7547000000,7496000000
EarningsPerShareDiluted,8.05,9.65
EarningsPerShareBasic,8.12,9.70
NetIncomeLoss,61271000000,72738000000
IncomeTaxExpenseBenefit,9831000000,10978000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,71102000000,83716000000
NonoperatingIncomeExpense,1186000000,333000000
OperatingIncomeLoss,69916000000,83383000000
GeneralAndAdministrativeExpense,5107000000,5900000000
SellingAndMarketingExpense,20117000000,21825000000
ResearchAndDevelopmentExpense,20716000000,24512000000
GrossProfit,115856000000,135620000000
CostOfGoodsAndServicesSold,52232000000,62650000000
RevenueFromContractWithCustomerExcludingAssessedTax,168088000000,198270000000
