,2021-01-01-2021-12-31,2022-01-01-2022-12-31
Revenues,18471000000,19263000000
CostOfGoodsAndServicesSold,2617000000,5416000000
ResearchAndDevelopmentExpense,1991000000,3295000000
GeneralAndAdministrativeExpense,567000000,1132000000
CostsAndExpenses,5175000000,9843000000
OperatingIncomeLoss,13296000000,9420000000
InvestmentIncomeInterest,18000000,200000000
OtherNonoperatingIncomeExpense,-29000000,-45000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,13285000000,9575000000
IncomeTaxExpenseBenefit,1083000000,1213000000
NetIncomeLoss,12202000000,8362000000
EarningsPerShareBasic,30.31,21.26
EarningsPerShareDiluted,28.29,20.12
WeightedAverageNumberOfSharesOutstandingBasic,403000000,394000000
WeightedAverageNumberOfDilutedSharesOutstanding,431000000,416000000
