,2021-01-01-2021-12-31,2022-01-01-2022-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,8171000000,9112000000
CostOfGoodsAndServicesSold,4131000000,4883000000
GrossProfit,4040000000,4229000000
SellingGeneralAndAdministrativeExpense,1353000000,1450000000
ResearchAndDevelopmentExpense,734000000,779000000
OtherOperatingIncomeExpenseNet,-286000000,-339000000
OperatingIncomeLoss,1667000000,1661000000
InterestIncomeExpenseNonoperatingNet,-208000000,-226000000
GainLossOnSalesOfInvestmentsAndBusinessesNet,1000000,3000000
OtherNonoperatingIncomeExpense,92000000,77000000
NonoperatingIncomeExpense,-115000000,-146000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1552000000,1515000000
IncomeTaxExpenseBenefit,302000000,148000000
ProfitLoss,1250000000,1367000000
NetIncomeLossAttributableToNoncontrollingInterest,5000000,4000000
NetIncomeLoss,1245000000,1363000000
EarningsPerShareBasic,7.36,8.14
EarningsPerShareDiluted,7.17,7.93
WeightedAverageNumberOfSharesOutstandingBasic,169200000,167500000
WeightedAverageNumberOfDilutedSharesOutstanding,173600000,171900000
CommonStockDividendsPerShareDeclared,2.92,3.25
