,2020-01-27-2021-01-31,2021-02-01-2022-01-30
Revenues,16675000000,26914000000
CostOfRevenue,6279000000,9439000000
GrossProfit,10396000000,17475000000
ResearchAndDevelopmentExpense,3924000000,5268000000
SellingGeneralAndAdministrativeExpense,1940000000,2166000000
OperatingExpenses,5864000000,7434000000
OperatingIncomeLoss,4532000000,10041000000
InvestmentIncomeInterest,57000000,29000000
InterestExpense,184000000,236000000
OtherNonoperatingIncomeExpense,4000000,107000000
NonoperatingIncomeExpense,-123000000,-100000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,4409000000,9941000000
IncomeTaxExpenseBenefit,77000000,189000000
NetIncomeLoss,4332000000,9752000000
EarningsPerShareBasic,1.76,3.91
EarningsPerShareDiluted,1.73,3.85
WeightedAverageNumberOfSharesOutstandingBasic,2467000000,2496000000
WeightedAverageNumberOfDilutedSharesOutstanding,2510000000,2535000000
