,2021-01-01-2021-12-31,2022-01-01-2022-12-31
Revenues,29697844000,31615550000
CostOfRevenue,17332683000,19168285000
MarketingExpense,2545146000,2530502000
ResearchAndDevelopmentExpense,2273885000,2711041000
GeneralAndAdministrativeExpense,1351621000,1572891000
OperatingIncomeLoss,6194509000,5632831000
InterestExpense,765620000,706212000
NonoperatingIncomeExpense,411214000,337310000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,5840103000,5263929000
IncomeTaxExpenseBenefit,723875000,772005000
NetIncomeLoss,5116228000,4491924000
EarningsPerShareBasic,11.55,10.10
EarningsPerShareDiluted,11.24,9.95
WeightedAverageNumberOfSharesOutstandingBasic,443155000,444698000
WeightedAverageNumberOfDilutedSharesOutstanding,455372000,451290000
