,2020-06-01-2021-05-31,2021-06-01-2022-05-31
RevenueFromContractWithCustomerExcludingAssessedTax,44538000000,46710000000
CostOfGoodsAndServicesSold,24576000000,25231000000
GrossProfit,19962000000,21479000000
MarketingAndAdvertisingExpense,3114000000,3850000000
GeneralAndAdministrativeExpense,9911000000,10954000000
SellingGeneralAndAdministrativeExpense,13025000000,14804000000
InterestIncomeExpenseNonoperatingNet,-262000000,-205000000
OtherNonoperatingIncomeExpense,-14000000,181000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,6661000000,6651000000
IncomeTaxExpenseBenefit,934000000,605000000
NetIncomeLoss,5727000000,6046000000
EarningsPerShareBasic,3.64,3.83
EarningsPerShareDiluted,3.56,3.75
WeightedAverageNumberOfSharesOutstandingBasic,1573000000,1578800000
WeightedAverageNumberOfDilutedSharesOutstanding,1609400000,1610800000
